source	target
33796	33814
33796	35724
34308	33725
34308	34314
34314	34286
34319	34298
33814	33707
34326	35267
36377	36383
36377	36399
36383	36399
35360	35380
35360	35384
35362	34955
35362	34956
35362	35376
35362	35377
35362	35449
34344	34375
35376	34955
35376	35378
35376	35384
35380	35384
35380	35395
34358	34359
35393	35395
35915	35264
35409	35412
35409	35420
35412	35418
35412	35420
35418	35420
35418	35424
34395	34404
35420	35478
34404	34407
33901	33910
33901	33913
33901	33918
33901	33944
33901	33945
35442	34956
35442	35443
35442	35449
35442	35454
35443	35449
35443	35454
35443	35460
33910	33913
36476	36484
35454	35460
34955	34956
34955	34958
34955	34961
34955	35285
34955	35286
34956	34958
36001	36134
35000	35009
35000	35087
35001	35009
35001	35087
35002	35068
35532	35572
35545	35557
35050	35162
34041	34045
35068	35096
34565	34654
35121	35123
33600	33609
33600	33721
33609	33714
34643	34648
34643	34683
34654	34287
35168	35178
35168	35232
33635	33651
33635	33674
35178	35240
35694	35696
33654	33674
34713	34742
34713	34750
33707	33714
33711	33714
33711	33721
33714	33721
34742	34750
35261	35264
35264	35266
35264	35267
35776	35829
35274	35286
35285	35286
34262	34263
34272	34279
34272	34286
34279	34294
34287	34294
