object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2011-01-09	2	3.0	25.305933	-99.999704				
0	2011-01-23	1	1.0	25.381564	-99.984512				
0	2011-01-30	3	7.0	25.780725	-100.05043				
0	2011-02-06	3	8.0	25.819942	-100.337062				
0	2011-03-06	2	2.0	25.513939	-100.007				
0	2011-03-20	1	1.0	25.835123	-100.212822				
0	2011-04-03	1	1.0	25.78799	-100.490742				
0	2011-04-10	1	2.0	25.386837	-100.429459				
0	2011-05-08	1	2.0	25.44901	-100.09901				
0	2011-05-22	1	14.0	25.857792	-100.245091				
0	2011-05-29	2	7.0	25.792357	-100.177631				
0	2011-06-12	4	10.0	25.52335	-100.206642				
33600	2011-01-30	1	1.0	25.781562	-100.187597	66600.0	APODACA	APODACA CENTRO	COLONIA
33600	2011-05-08	1	5.0	25.781562	-100.187597	66600.0	APODACA	APODACA CENTRO	COLONIA
33609	2011-02-06	1	1.0	25.77918	-100.20396	66604.0	APODACA	CASAS REALES DE APODACA	COLONIA
33613	2011-05-29	1	1.0	25.802673	-100.194626	66605.0	APODACA	TERESITA	COLONIA
33635	2011-03-20	1	1.0	25.7917	-100.252733	66612.0	APODACA	FRACC METROPLEX 2DO SECT	COLONIA
33651	2011-02-20	1	1.0	25.801128	-100.245609	66612.0	APODACA	FRACC VALLE DE SAN ANDRES 4TO SECT	COLONIA
33654	2011-02-06	1	2.0	25.787739	-100.246682	66612.0	APODACA	HACIENDA SANTA ISABEL	COLONIA
33664	2011-01-16	1	1.0	25.800012	-100.239402	66612.0	APODACA	REAL DE SAN ANDRES	COLONIA
33674	2011-06-19	1	4.0	25.790612	-100.252709	66612.0	APODACA	COSMOPOLIS METROPLEX	COLONIA
33707	2011-02-06	1	1.0	25.763304	-100.242037	66630.0	APODACA	EL MEZQUITAL	COLONIA
33707	2011-04-03	1	2.0	25.762639	-100.238743	66630.0	APODACA	EL MEZQUITAL	COLONIA
33710	2011-02-06	1	2.0	25.753027	-100.240736	66632.0	APODACA	NUEVO MEZQUITAL	COLONIA
33711	2011-05-08	1	1.0	25.749613	-100.227242	66632.0	APODACA	VALLE DEL MEZQUITAL	COLONIA
33714	2011-06-05	1	1.0	25.75736400000001	-100.235314	66632.0	APODACA	HACIENDA DEL MEZQUITAL	COLONIA
33721	2011-06-12	1	1.0	25.767084	-100.195616	66633.0	APODACA	KALOS	COLONIA
33725	2011-01-09	1	1.0	25.732604	-100.191278	66633.0	APODACA	NORIA SUR	COLONIA
33729	2011-02-06	1	1.0	25.736045	-100.207844	66633.0	APODACA	PARQUE INDUSTRIAL INTERPARK	COLONIA
33742	2011-01-30	1	2.0	25.748009	-100.201342	66634.0	APODACA	FRACC PRIVADAS PREMIER (VALLE REAL)	UNIDAD HABITACIONAL
33746	2011-04-24	1	1.0	25.752536	-100.186173	66634.0	APODACA	PARQUE INDUSTRIAL MARTEL	UNIDAD HABITACIONAL
33778	2011-03-27	1	3.0	25.768952	-100.254211	66635.0	APODACA	LOS FRESNOS 2DO SECT	COLONIA
33796	2011-01-09	1	2.0	25.761499	-100.253227	66636.0	APODACA	FRACC PORTAL DE ANAHUAC	COLONIA
33814	2011-01-09	1	2.0	25.760552	-100.249279	66636.0	APODACA	FRACC LA HACIENDA 2DO SECT	COLONIA
33843	2011-06-12	1	2.0	25.759318	-100.172293	66646.0	APODACA	PUEBLO NUEVO 4TO SECT	COLONIA
33868	2011-06-19	1	1.0	25.727776	-100.173477	66648.0	APODACA	FRACC SANTA FE 1ER SECT	COLONIA
33901	2011-01-09	1	1.0	25.593517	-99.990181	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-01-16	2	2.0	25.593517	-99.990181	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-01-30	1	1.0	25.585239	-99.998573	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-02-20	1	1.0	25.585239	-99.998573	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-02-27	1	4.0	25.585239	-99.998573	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-03-27	1	1.0	25.585239	-99.998573	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-04-17	2	6.0	25.593517	-99.990181	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-05-22	1	2.0	25.593517	-99.990181	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33901	2011-06-05	1	1.0	25.58704	-99.997559	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33910	2011-05-08	1	1.0	25.601902	-99.993439	67483.0	CADEREYTA JIMÃNEZ	NUEVA CADEREYTA	COLONIA
33913	2011-03-27	1	1.0	25.596948	-99.992065	67483.0	CADEREYTA JIMÃNEZ	ALFREDO V BONFIL	COLONIA
33918	2011-04-10	1	4.0	25.590519	-99.982151	67484.0	CADEREYTA JIMÃNEZ	JOSE LUIS LOZANO FERNANDEZ	FRACCIONAMIENTO
33937	2011-05-15	1	1.0	25.564538	-100.021283	67485.0	CADEREYTA JIMÃNEZ	NUEVA MADERO	COLONIA
33944	2011-01-09	1	3.0	25.606856	-100.000305	67485.0	CADEREYTA JIMÃNEZ	EJIDO CADEREYTA JIMENEZ	COLONIA
33945	2011-05-29	1	5.0	25.604844	-100.031633	67486.0	CADEREYTA JIMÃNEZ	LOMAS DE LOS PILARES	FRACCIONAMIENTO
33953	2011-01-23	1	1.0	25.936697	-100.362373	66550.0	CARMEN	EL CARMEN CENTRO	VILLA
33965	2011-03-27	1	1.0	25.955113	-100.163749	65550.0	CIÃNEGA DE FLORES	CIENEGA DE FLORES CENTRO	COLONIA
33965	2011-05-29	1	1.0	25.957119	-100.163727	65550.0	CIÃNEGA DE FLORES	CIENEGA DE FLORES CENTRO	COLONIA
34018	2011-01-30	1	1.0	25.799466	-100.591657	66005.0	GARCÃA	NUEVO AMANECER	COLONIA
34029	2011-01-16	1	1.0	25.808921	-100.597923	66008.0	GARCÃA	LA CRUZ	COLONIA
34029	2011-05-15	1	1.0	25.808921	-100.597923	66008.0	GARCÃA	LA CRUZ	COLONIA
34037	2011-02-27	1	3.0	25.77489	-100.431776	66023.0	GARCÃA	FRACC VILLAS DEL PONIENTE	FRACCIONAMIENTO
34041	2011-01-23	1	5.0	25.778716	-100.417228	64103.0	GENERAL ESCOBEDO	LA ALIANZA	COLONIA
34045	2011-05-29	1	1.0	25.763093	-100.412468	64346.0	GENERAL ESCOBEDO	PORTAL DE HIERRO	COLONIA
34053	2011-05-15	1	1.0	25.738467	-100.407831	64349.0	GENERAL ESCOBEDO	CUMBRES ELITE 6TO SECT	COLONIA
34061	2011-05-01	1	1.0	25.808391	-100.319767	66050.0	GENERAL ESCOBEDO	GENERAL ESCOBEDO CENTRO	COLONIA
34066	2011-01-09	1	2.0	25.79261	-100.304215	66050.0	GENERAL ESCOBEDO	LOS ELIZONDO	COLONIA
34138	2011-04-03	1	4.0	25.795657	-100.29437	66058.0	GENERAL ESCOBEDO	LAS MALVINAS	COLONIA
34230	2011-04-17	1	1.0	25.892745	-100.106047	65750.0	GENERAL ZUAZUA	GENERAL ZUAZUA CENTRO	VILLA
34230	2011-06-05	1	2.0	25.892745	-100.106047	65750.0	GENERAL ZUAZUA	GENERAL ZUAZUA CENTRO	VILLA
34256	2011-02-27	1	2.0	25.705946	-100.210022	67110.0	GUADALUPE	VILLA DE SAN MIGUEL	COLONIA
34262	2011-03-06	1	1.0	25.708014	-100.199432	67112.0	GUADALUPE	PEDREGAL DE LINDA VISTA	COLONIA
34263	2011-04-03	1	3.0	25.711711	-100.205641	67112.0	GUADALUPE	PLAZA SAN ANTONIO	COLONIA
34272	2011-03-27	1	2.0	25.718628	-100.195334	67113.0	GUADALUPE	INFONAVIT BENITO JUAREZ	COLONIA
34279	2011-04-17	1	2.0	25.708672	-100.192008	67114.0	GUADALUPE	COLONIAL SAN MIGUEL 2DO SECT	FRACCIONAMIENTO
34286	2011-01-16	1	1.0	25.722804	-100.1966	67114.0	GUADALUPE	REAL DE SAN MIGUEL 3ER SECT	FRACCIONAMIENTO
34287	2011-02-13	1	1.0	25.700586	-100.16647	67114.0	GUADALUPE	VALLE SOLEADO	FRACCIONAMIENTO
34287	2011-06-05	1	1.0	25.702674	-100.165994	67114.0	GUADALUPE	VALLE SOLEADO	FRACCIONAMIENTO
34291	2011-06-26	1	3.0	25.723171	-100.182953	67114.0	GUADALUPE	CAÃADA BLANCA	FRACCIONAMIENTO
34294	2011-05-08	1	1.0	25.709124	-100.184959	67115.0	GUADALUPE	PARQUE INDUSTRIAL SAN MIGUEL	COLONIA
34298	2011-01-16	1	2.0	25.694883	-100.192417	67116.0	GUADALUPE	RIBERAS DE LA SILLA (FOMERREY 31)	COLONIA
34298	2011-04-17	1	2.0	25.694883	-100.192417	67116.0	GUADALUPE	RIBERAS DE LA SILLA (FOMERREY 31)	COLONIA
34298	2011-05-22	1	7.0	25.694651	-100.192038	67116.0	GUADALUPE	RIBERAS DE LA SILLA (FOMERREY 31)	COLONIA
34308	2011-02-20	1	6.0	25.730188	-100.192888	67117.0	GUADALUPE	PROL EDUARDO CABALLERO ESCAMILLA	FRACCIONAMIENTO
34314	2011-05-08	1	3.0	25.724662	-100.194404	67117.0	GUADALUPE	EDUARDO CABALLERO ESCAMILLA	FRACCIONAMIENTO
34319	2011-05-22	1	1.0	25.698748	-100.203945	67118.0	GUADALUPE	MISION DEL VALLE	COLONIA
34326	2011-04-10	1	3.0	25.698589	-100.260714	67120.0	GUADALUPE	ESCAMILLA	COLONIA
34329	2011-05-22	1	2.0	25.700878	-100.244187	67120.0	GUADALUPE	LEON XIII	COLONIA
34344	2011-06-12	1	1.0	25.685007	-100.260678	67130.0	GUADALUPE	LIBERTAD	COLONIA
34353	2011-02-20	1	1.0	25.693668	-100.235192	67137.0	GUADALUPE	RIBERAS DE LA PURISIMA	COLONIA
34358	2011-01-30	1	1.0	25.6793	-100.24533	67140.0	GUADALUPE	GUERRA	COLONIA
