source	target
35350	34960
35350	34968
33822	33736
33822	33826
35362	34955
35362	35376
35362	35445
35362	35447
35376	34955
35376	35384
35380	35384
35380	35392
35380	35395
35384	35392
36425	36429
35915	35264
35407	35412
35937	35957
35945	35959
36457	36459
33901	33902
33901	33941
36463	36502
35442	35447
35442	35454
35450	35454
35450	35460
36471	36488
36476	36484
35454	35460
35458	35460
35458	35461
35460	35461
35464	35465
35464	35478
34955	34961
34955	34968
34955	35172
34955	35250
34955	35285
35481	35482
35009	35020
35524	35530
35020	35025
34527	34536
35050	35162
35067	35178
34583	34632
33600	33721
34117	35694
34630	34632
35164	35178
35169	35171
35171	35788
35172	35243
35172	35250
34713	34719
33706	33707
33707	33709
35243	35279
35243	35285
35250	35285
35261	35264
35264	35283
35271	35283
35279	35285
35282	35283
35283	35290
34270	34271
