object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2015-07-12	1	2.0	25.801002	-100.053654				
0	2015-08-09	1	1.0	25.433436999999998	-100.115214				
0	2015-08-23	2	2.0	25.560929	-100.011484				
0	2015-09-06	1	1.0	25.827251999999998	-100.634067				
0	2015-09-13	3	4.0	25.801002	-100.05365400000001				
33709	2015-08-30	2	2.0	25.760051999999998	-100.236395	66630.0	APODACA	FRANCISCO ELIZONDO	COLONIA
33726	2015-10-25	1	1.0	25.7591211	-100.1920355	66633.0	APODACA	PARQUE INDUSTRIAL ALMACENTRO	COLONIA
33929	2015-12-13	1	1.0	25.5858931	-100.0244665	67485.0	CADEREYTA JIMÃNEZ	EMILIANO ZAPATA 2DO SECT	COLONIA
33935	2015-12-06	1	1.0	25.5867158	-100.00988570000001	67485.0	CADEREYTA JIMÃNEZ	GALINDO	COLONIA
34009	2015-11-08	1	1.0	25.8092806	-100.5899619	66000.0	GARCÃA	CENTRO	COLONIA
34025	2015-10-04	2	2.0	25.8027	-100.604299	66006.0	GARCÃA	FOMERREY AMPL NOGALES	FRACCIONAMIENTO
34034	2015-09-06	1	1.0	25.790622	-100.422774	66023.0	GARCÃA	LAS PALMAS	FRACCIONAMIENTO
34041	2015-09-27	2	2.0	25.777561	-100.410404	64103.0	GENERAL ESCOBEDO	LA ALIANZA	COLONIA
34125	2015-08-02	2	2.0	25.783142	-100.31591999999999	66056.0	GENERAL ESCOBEDO	TOPO GRANDE	COLONIA
34231	2015-10-18	1	2.0	25.877287	-100.120931	65750.0	GENERAL ZUAZUA	PEDRO MARTINEZ	VILLA
34391	2015-10-04	1	1.0	25.687303	-100.2340781	67150.0	GUADALUPE	RES AZTECA	COLONIA
34524	2015-08-16	2	2.0	25.655434	-100.21387	67180.0	GUADALUPE	VALLE LA SILLA	COLONIA
34719	2015-12-20	1	1.0	25.664889199999998	-100.0945886	67254.0	JUÃREZ	LOMAS DEL SOL	FRACCIONAMIENTO
34741	2015-07-12	1	1.0	25.6516471	-100.1059194	67260.0	JUÃREZ	20 DE SEPTIEMBRE	FRACCIONAMIENTO
34750	2015-10-04	1	1.0	25.633062	-100.097347	67266.0	JUÃREZ	EL MIRADOR	COLONIA
34802	2015-08-16	2	2.0	25.616893	-100.141144	67289.0	JUÃREZ	MONTE KRISTAL	COLONIA
34955	2015-09-27	2	4.0	25.683207	-100.30565	64000.0	MONTERREY	CENTRO DE MONTERREY	COLONIA
34955	2015-11-01	1	1.0	25.6836728	-100.3264108	64000.0	MONTERREY	CENTRO DE MONTERREY	COLONIA
34982	2015-08-23	2	2.0	25.787070999999997	-100.381679	64102.0	MONTERREY	BARRIO TOPO CHICO	COLONIA
35007	2015-08-16	2	2.0	25.759746	-100.385995	64106.0	MONTERREY	FOMERREY 110	COLONIA
35088	2015-10-18	1	1.0	25.7659068	-100.364755	64217.0	MONTERREY	DIF FOMERREY 15	FRACCIONAMIENTO
35116	2015-08-30	2	2.0	25.734617	-100.345805	64240.0	MONTERREY	MOCTEZUMA	COLONIA
35150	2015-08-16	2	2.0	25.729691	-100.324588	64265.0	MONTERREY	AVANCE PROLETARIO	COLONIA
35172	2015-08-09	1	1.0	25.690509	-100.319564	64299.0	MONTERREY	INDUSTRIAL	FRACCIONAMIENTO
35172	2015-08-30	2	2.0	25.687205	-100.323272	64299.0	MONTERREY	INDUSTRIAL	FRACCIONAMIENTO
35172	2015-10-25	1	2.0	25.6883755	-100.32571949999999	64299.0	MONTERREY	INDUSTRIAL	FRACCIONAMIENTO
35238	2015-09-20	2	2.0	25.702386999999998	-100.3308447	64420.0	MONTERREY	PEDRO LOZANO	COLONIA
35248	2015-07-05	1	1.0	25.6920483	-100.3322478	64488.0	MONTERREY	10 DE MARZO	COLONIA
35264	2015-08-23	2	2.0	25.70532900000001	-100.281293	64530.0	MONTERREY	MODERNA	COLONIA
35282	2015-09-06	1	1.0	25.6913472	-100.2803447	64560.0	MONTERREY	NUEVA MADERO	COLONIA
35376	2015-08-02	2	2.0	25.656898	-100.32547	64720.0	MONTERREY	INDEPENDENCIA	FRACCIONAMIENTO
35376	2015-09-27	2	2.0	25.657586	-100.322029	64720.0	MONTERREY	INDEPENDENCIA	FRACCIONAMIENTO
35424	2015-10-04	1	1.0	25.63207460000001	-100.2860881	64788.0	MONTERREY	REVOLUCION PROLETARIA	COLONIA
35483	2015-10-18	1	1.0	25.617672	-100.25931800000001	64878.0	MONTERREY	EJIDAL LOS REMATES	COLONIA
35483	2015-10-25	1	2.0	25.61768	-100.25935	64878.0	MONTERREY	EJIDAL LOS REMATES	COLONIA
