object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2012-07-08	2	3.0	25.640675	-100.071073				
0	2012-07-15	3	13.0	25.664474	-100.087202				
0	2012-08-05	1	2.0	25.766117	-100.551338				
0	2012-09-02	3	4.0	25.800237	-100.416357				
0	2012-09-09	1	2.0	25.732179	-100.149651				
0	2012-09-16	1	2.0	25.638586	-100.76643				
0	2012-10-21	2	2.0	25.848835	-100.307322				
0	2012-11-04	2	8.0	25.674219	-100.087021				
0	2012-12-02	1	1.0	25.741843	-100.515461				
0	2012-12-09	1	1.0	25.578989	-100.228872				
0	2012-12-16	1	2.0	25.641681	-100.071201				
0	2012-12-23	1	1.0	25.800237	-100.416357				
33600	2012-08-26	1	1.0	25.781562	-100.187597	66600.0	APODACA	APODACA CENTRO	COLONIA
33601	2012-08-05	1	1.0	25.7806	-100.173351	66600.0	APODACA	FUTURO APODACA	COLONIA
33601	2012-09-16	1	2.0	25.785053	-100.17952	66600.0	APODACA	FUTURO APODACA	COLONIA
33623	2012-09-23	1	1.0	25.814361	-100.238497	66610.0	APODACA	SANTA ROSA	COLONIA
33635	2012-10-07	1	1.0	25.793883	-100.248796	66612.0	APODACA	FRACC METROPLEX 2DO SECT	COLONIA
33662	2012-07-15	1	1.0	25.796623	-100.241656	66612.0	APODACA	MISION DE FUNDADORES 2DO SECT	COLONIA
33674	2012-10-07	1	1.0	25.790612	-100.252709	66612.0	APODACA	COSMOPOLIS METROPLEX	COLONIA
33721	2012-07-15	1	1.0	25.767084	-100.195616	66633.0	APODACA	KALOS	COLONIA
33722	2012-09-16	1	1.0	25.736161	-100.206921	66633.0	APODACA	LA ENCARNACION	COLONIA
33733	2012-08-05	1	1.0	25.744143	-100.219345	66633.0	APODACA	PARQUE INDUSTRIAL PANASONIC	COLONIA
33743	2012-09-16	1	4.0	25.738983	-100.193982	66634.0	APODACA	INDEPENDENCIA CROC	UNIDAD HABITACIONAL
33811	2012-09-09	1	1.0	25.775363	-100.239311	66636.0	APODACA	SANTA CECILIA	COLONIA
33812	2012-11-04	1	1.0	25.766774	-100.247415	66636.0	APODACA	FRACC ARBOLEDAS DEL VIRREY	COLONIA
33817	2012-09-09	1	1.0	25.740124	-100.172537	66640.0	APODACA	FRACC JARDINES DE HUINALA	FRACCIONAMIENTO
33820	2012-09-16	1	3.0	25.745679	-100.163323	66640.0	APODACA	HUINALA	FRACCIONAMIENTO
33840	2012-09-02	1	2.0	25.762257	-100.166824	66646.0	APODACA	PUEBLO NUEVO	COLONIA
33840	2012-12-09	1	1.0	25.762257	-100.166824	66646.0	APODACA	PUEBLO NUEVO	COLONIA
33860	2012-07-08	1	1.0	25.704727	-100.1336	66647.0	APODACA	LOMA DE LA PAZ	COLONIA
33864	2012-10-07	1	2.0	25.732869	-100.155497	66647.0	APODACA	CAMPESTRE HUINALA	COLONIA
