object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2017-07-23	1	1.0	25.983415	-100.298775				
0	2017-08-06	2	3.0	25.856245	-100.313242				
0	2017-09-24	1	1.0	25.840183	-100.373458				
0	2017-10-01	1	1.0	25.729149300000003	-100.0825887				
0	2017-10-29	2	3.0	25.6453581	-100.0538208				
0	2017-11-05	1	1.0	25.597671	-100.110527				
0	2017-11-19	3	4.0	25.543472	-99.954435				
0	2017-11-26	1	1.0	25.7919304	-100.4917615				
0	2017-12-03	1	1.0	25.8691577	-100.24967209999998				
0	2017-12-17	2	2.0	25.4714461	-99.9990923				
33617	2017-09-24	1	1.0	25.777628	-100.2318861	66610.0	APODACA	RES EBANOS 10MO SECT	COLONIA
33727	2017-10-08	1	1.0	25.76512	-100.191457	66633.0	APODACA	PARQUE INDUSTRIAL APODACA ASTEC	COLONIA
33762	2017-10-08	1	2.0	25.767189399999996	-100.2564035	66635.0	APODACA	FRACC ENRAMADA 5TO SECTC	COLONIA
33774	2017-10-15	1	1.0	25.7711086	-100.25368040000001	66635.0	APODACA	HACIENDA LOS PINOS 3ER SECT	COLONIA
33844	2017-09-24	1	1.0	25.7575002	-100.1696314	66646.0	APODACA	PUEBLO NUEVO 5TO SECT	COLONIA
33870	2017-09-17	1	1.0	25.730613	-100.1662	66648.0	APODACA	JOYAS DEL PEDREGAL	COLONIA
33922	2017-07-02	1	2.0	25.572243	-99.981597	67484.0	CADEREYTA JIMÃNEZ	PRADERAS DE CADEREYTA	FRACCIONAMIENTO
33935	2017-12-10	1	3.0	25.588141	-100.0122017	67485.0	CADEREYTA JIMÃNEZ	GALINDO	COLONIA
33943	2017-12-03	1	1.0	25.5810189	-100.0068584	67485.0	CADEREYTA JIMÃNEZ	DELIA	COLONIA
34036	2017-11-19	1	2.0	25.781098800000002	-100.4463477	66023.0	GARCÃA	CIUDAD MITRAS	FRACCIONAMIENTO
34148	2017-12-10	1	1.0	25.7710885	-100.26873940000002	66059.0	GENERAL ESCOBEDO	HACIENDA LOS CANTU 2DO SECT	COLONIA
34171	2017-07-09	1	1.0	25.8003164	-100.3932926	66064.0	GENERAL ESCOBEDO	FRACC NUEVA ESPERANZA	COLONIA
34177	2017-10-08	1	2.0	25.7969759	-100.37842619999999	66064.0	GENERAL ESCOBEDO	NUEVA ESCOBEDO	COLONIA
34181	2017-10-08	1	1.0	25.846478	-100.39511	66064.0	GENERAL ESCOBEDO	LOS NARANJOS	COLONIA
34212	2017-11-19	1	3.0	25.778559299999998	-100.32900620000001	66073.0	GENERAL ESCOBEDO	FOMERREY 9	COLONIA
34215	2017-11-19	1	1.0	25.837648	-100.296065	66080.0	GENERAL ESCOBEDO	ANDRES CABALLERO MORENO	COLONIA
34236	2017-10-01	1	1.0	25.673914	-100.2573399	67100.0	GUADALUPE	CENTRO DE GUADALUPE	UNIDAD HABITACIONAL
34357	2017-10-08	1	1.0	25.677427899999998	-100.2717929	67140.0	GUADALUPE	ESMERALDA	COLONIA
34418	2017-10-15	1	2.0	25.6927546	-100.2115008	67167.0	GUADALUPE	LAS QUINTAS	COLONIA
34431	2017-11-12	1	1.0	25.6878909	-100.206778	67169.0	GUADALUPE	VALLE HERMOSO 2DO SECT	COLONIA
34452	2017-08-06	1	1.0	25.669204999999998	-100.229709	67170.0	GUADALUPE	PROGRESO	COLONIA
34461	2017-10-01	1	1.0	25.6356682	-100.2681324	67173.0	GUADALUPE	COUNTRY LA SILLA	COLONIA
34519	2017-10-01	1	1.0	25.658364000000002	-100.2244067	67180.0	GUADALUPE	RAFAEL RAMIREZ	COLONIA
34530	2017-07-16	1	1.0	25.648757	-100.21621800000001	67180.0	GUADALUPE	23 DE NOVIEMBRE	COLONIA
34615	2017-11-19	1	1.0	25.667004000000002	-100.13534940000001	67190.0	GUADALUPE	31 DE DICIEMBRE	COLONIA
34750	2017-07-16	1	1.0	25.639644600000004	-100.0944765	67266.0	JUÃREZ	EL MIRADOR	COLONIA
34786	2017-10-08	1	1.0	25.620259	-100.181838	67286.0	JUÃREZ	LOMAS DE SANTA MONICA 1RA SECC	FRACCIONAMIENTO
