object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2015-02-01	2	2.0	25.603208	-100.077843				
0	2015-02-08	1	1.0	25.799739000000002	-100.617731				
0	2015-03-22	2	2.0	25.806485000000002	-100.091893				
0	2015-04-12	2	2.0	25.827252	-100.634067				
0	2015-04-26	2	2.0	25.926778	-100.36856				
0	2015-06-07	1	1.0	25.799739	-100.617731				
33600	2015-01-11	1	1.0	25.7815621	-100.1875974	66600.0	APODACA	APODACA CENTRO	COLONIA
33600	2015-06-07	1	1.0	25.781562100000002	-100.1875974	66600.0	APODACA	APODACA CENTRO	COLONIA
33787	2015-03-01	2	2.0	25.76364	-100.26089499999999	66635.0	APODACA	FOMERREY 4	COLONIA
33840	2015-02-01	2	2.0	25.762539999999998	-100.166208	66646.0	APODACA	PUEBLO NUEVO	COLONIA
33901	2015-02-22	2	2.0	25.585239	-99.9985729	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33908	2015-05-03	2	2.0	25.598917	-99.983257	67483.0	CADEREYTA JIMÃNEZ	LAZARO CARDENAS 1ER SECT	COLONIA
33910	2015-05-03	2	2.0	25.599504999999997	-99.994469	67483.0	CADEREYTA JIMÃNEZ	NUEVA CADEREYTA	COLONIA
33929	2015-01-11	1	1.0	25.5858931	-100.0244665	67485.0	CADEREYTA JIMÃNEZ	EMILIANO ZAPATA 2DO SECT	COLONIA
33929	2015-05-03	1	1.0	25.5858931	-100.0244665	67485.0	CADEREYTA JIMÃNEZ	EMILIANO ZAPATA 2DO SECT	COLONIA
33929	2015-05-24	2	2.0	25.5858931	-100.0244665	67485.0	CADEREYTA JIMÃNEZ	EMILIANO ZAPATA 2DO SECT	COLONIA
33929	2015-06-14	1	1.0	25.5858931	-100.0244665	67485.0	CADEREYTA JIMÃNEZ	EMILIANO ZAPATA 2DO SECT	COLONIA
34009	2015-05-17	1	1.0	25.8092806	-100.5899619	66000.0	GARCÃA	CENTRO	COLONIA
34020	2015-01-04	1	1.0	25.797418	-100.613265	66005.0	GARCÃA	VALLES DEL MIRADOR	COLONIA
34034	2015-04-12	1	1.0	25.790622	-100.422774	66023.0	GARCÃA	LAS PALMAS	FRACCIONAMIENTO
34047	2015-02-22	2	2.0	25.7580391	-100.426662	64346.0	GENERAL ESCOBEDO	CUMBRES SAN AGUSTIN	COLONIA
34077	2015-02-01	2	6.0	25.804559	-100.27812800000001	66052.0	GENERAL ESCOBEDO	MOL DEL YONKE	COLONIA
34088	2015-04-19	2	2.0	25.81997	-100.29617900000001	66053.0	GENERAL ESCOBEDO	RAUL CABALLERO	COLONIA
34101	2015-03-15	2	2.0	25.7802165	-100.3161126	66055.0	GENERAL ESCOBEDO	JOYA DE ANAHUAC SECT FLORENCIA	COLONIA
