source	target
33820	33835
33820	33836
35368	34955
35368	35369
35368	35376
35369	34955
35369	35376
33834	33836
33835	33836
35376	34955
35376	35384
35380	35384
35380	35385
35380	35392
35380	35395
34357	34366
35384	35392
35385	35395
35395	35404
33864	33875
33864	33882
35913	35917
35404	35407
35404	35410
35404	35416
35407	35410
35407	35412
35407	35416
35412	35416
35427	35498
33901	33909
33901	33912
33901	33917
33901	33918
33901	33930
33901	33931
33908	33909
33909	33918
33917	33923
36482	36484
33930	33931
33930	33933
34955	34961
34955	35172
34955	35250
34955	35286
35978	36061
34960	35245
34961	35245
34978	34992
34979	34041
34990	34992
34998	35009
35002	35004
35002	35068
35009	35010
35009	35026
35010	34043
35026	35029
35026	35030
35029	35030
35029	35116
35030	35102
35061	35173
35082	35102
34603	34794
34093	34095
34097	34117
34101	34117
33600	33601
33600	33721
35143	35152
35143	35161
35145	35168
35145	35178
33623	33689
35168	35169
35168	35178
33635	33651
35172	35250
35173	35175
35175	35178
35178	35240
35178	35245
33650	33651
33650	33689
33651	33689
34171	34180
34713	34719
34713	34742
35236	35245
34728	34779
35240	35245
34733	34735
34733	34779
33711	33712
33711	33721
34735	34779
35251	35259
34746	34747
35259	35261
35259	35279
35261	35264
35264	35283
35781	35786
35783	35785
35785	35786
35273	35281
35273	35282
35273	35283
35279	35286
35282	35283
35297	35300
36327	36328
33771	33772
