object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2018-01-14	2	2.0	25.883217000000002	-100.036735				
33613	2018-02-18	1	1.0	25.7924479	-100.19295100000001	66605.0	APODACA	TERESITA	COLONIA
33696	2018-01-14	1	1.0	25.834329699999998	-100.1397248	66623.0	APODACA	ARTEMIO TREVIÃO	COLONIA
33807	2018-02-11	1	1.0	25.7785698	-100.25439190000002	66636.0	APODACA	NUEVO AMANECER 1RA SECC	COLONIA
33811	2018-02-11	1	1.0	25.7710195	-100.23688299999999	66636.0	APODACA	SANTA CECILIA	COLONIA
33925	2018-02-04	1	1.0	25.5643306	-99.98128170000001	67484.0	CADEREYTA JIMÃNEZ	CARLOS SALINAS DE GORTARI	FRACCIONAMIENTO
34181	2018-01-14	1	2.0	25.844176	-100.397913	66064.0	GENERAL ESCOBEDO	LOS NARANJOS	COLONIA
34582	2018-02-11	1	1.0	25.6420249	-100.20659549999999	67190.0	GUADALUPE	NUEVO MEXICO	COLONIA
34776	2018-02-18	1	1.0	25.636710600000004	-100.1624005	67280.0	JUÃREZ	RANCHO VIEJO	COLONIA
35074	2018-01-14	1	1.0	25.766234	-100.3667325	64206.0	MONTERREY	EL PORVENIR	COLONIA
35130	2018-02-18	1	1.0	25.739645899999996	-100.3332749	64250.0	MONTERREY	LOMA BONITA	COLONIA
35132	2018-01-07	1	1.0	25.7308664	-100.34018640000001	64250.0	MONTERREY	RESIDENCIAL AZTLAN	COLONIA
35162	2018-01-21	1	2.0	25.724892999999998	-100.343142	64270.0	MONTERREY	SIMON BOLIVAR	COLONIA
35168	2018-01-28	1	1.0	25.7165488	-100.32694570000001	64280.0	MONTERREY	NIÃO ARTILLERO	FRACCIONAMIENTO
35289	2018-02-18	1	1.0	25.6821788	-100.28751679999999	64580.0	MONTERREY	PABLO A DE LA GARZA	COLONIA
35420	2018-02-04	1	1.0	25.630407	-100.28788349999999	64780.0	MONTERREY	SIERRA VENTANA	COLONIA
35473	2018-02-11	1	1.0	25.638958300000002	-100.2758657	64858.0	MONTERREY	LOS NARANJOS	FRACCIONAMIENTO
35557	2018-02-18	1	1.0	25.5875306	-100.25841640000002	64989.0	MONTERREY	LOMAS DE VALLE ALTO	COLONIA
35933	2018-01-14	1	1.0	25.7279849	-100.2678043	66489.0	SAN NICOLÃS DE LOS GARZA	LAGO DE CHAPULTEPEC	COLONIA
35944	2018-02-18	1	1.0	25.707673100000004	-100.24686329999999	66490.0	SAN NICOLÃS DE LOS GARZA	NUEVO MUNDO SECT 1	UNIDAD HABITACIONAL
36307	2018-02-11	1	1.0	25.65951	-100.4342349	66198.0	SANTA CATARINA	LA FORTALEZA	COLONIA
36425	2018-01-21	1	3.0	25.700626999999997	-100.46351800000001	66368.0	SANTA CATARINA	RINCON DEL PONIENTE	COLONIA
