source	target
36371	36410
33813	33814
33814	33708
35362	34955
35362	35376
35362	35445
35362	35449
35875	35837
35368	34955
35368	35369
35368	35376
35369	34955
35369	35376
35376	34955
35376	35381
34355	34369
35380	35381
35404	35410
35418	35420
33901	33922
35441	35453
35442	35449
35445	35449
33922	33925
34955	35172
34955	35247
34955	35285
34955	35288
35481	35482
35030	35102
35587	35588
35083	35102
35637	33721
35638	35686
33600	33721
35168	35169
35172	35246
35172	35247
34713	34742
34713	34750
35242	35247
35245	35247
35246	35285
33711	33721
34742	34750
33721	33727
34745	34750
34746	34750
33724	33752
35779	35797
