object_id	date	events	cassualties	lat	lon	postal_code	mun_name	neighborhood_name	neighborhood_type
0	2014-07-20	1	3.0	25.8273576	-100.6339059				
0	2014-09-07	2	3.0	25.735272	-100.133171				
0	2014-09-28	1	1.0	25.952102	-100.278783				
0	2014-10-26	1	2.0	25.782194	-100.028286				
0	2014-11-09	1	2.0	25.823805	-100.099568				
0	2014-11-16	1	1.0	25.5599156	-100.0030088				
0	2014-11-30	1	1.0	25.90185	-100.213852				
0	2014-12-07	1	1.0	25.93944500000001	-100.28595				
33600	2014-07-06	1	4.0	25.7815621	-100.1875974	66600.0	APODACA	APODACA CENTRO	COLONIA
33689	2014-09-21	1	1.0	25.81774	-100.249815	66613.0	APODACA	FRACC COSMOPOLIS	COLONIA
33696	2014-08-10	1	1.0	25.836958	-100.145874	66623.0	APODACA	ARTEMIO TREVIÃO	COLONIA
33901	2014-10-05	1	1.0	25.59494500000001	-100.011313	67480.0	CADEREYTA JIMÃNEZ	CADEREYTA JIMENEZ CENTRO	COLONIA
33910	2014-08-03	1	1.0	25.6002346	-99.9919243	67483.0	CADEREYTA JIMÃNEZ	NUEVA CADEREYTA	COLONIA
33922	2014-08-03	1	1.0	25.581572	-99.989072	67484.0	CADEREYTA JIMÃNEZ	PRADERAS DE CADEREYTA	FRACCIONAMIENTO
33930	2014-08-17	1	1.0	25.560124	-100.002977	67485.0	CADEREYTA JIMÃNEZ	FRACC CASA BLANCA	COLONIA
33987	2014-07-20	1	1.0	25.8588845	-99.9425681	66750.0	DOCTOR GONZÃLEZ	DOCTOR GONZALEZ	VILLA
33987	2014-07-27	1	1.0	25.8588845	-99.9425681	66750.0	DOCTOR GONZÃLEZ	DOCTOR GONZALEZ	VILLA
34020	2014-10-19	1	1.0	25.798945	-100.612106	66005.0	GARCÃA	VALLES DEL MIRADOR	COLONIA
34036	2014-08-17	1	1.0	25.794598	-100.430102	66023.0	GARCÃA	CIUDAD MITRAS	FRACCIONAMIENTO
34087	2014-10-19	1	2.0	25.821855	-100.301657	66053.0	GENERAL ESCOBEDO	LAZARO CARDENAS AGROPECUARIA SUR	COLONIA
34097	2014-11-09	1	1.0	25.785507	-100.321805	66055.0	GENERAL ESCOBEDO	FELIPE CARRILLO PUERTO	COLONIA
34148	2014-08-10	1	1.0	25.770755	-100.267582	66059.0	GENERAL ESCOBEDO	HACIENDA LOS CANTU 2DO SECT	COLONIA
34171	2014-07-06	1	2.0	25.800145	-100.392707	66064.0	GENERAL ESCOBEDO	FRACC NUEVA ESPERANZA	COLONIA
34218	2014-11-02	1	2.0	25.812467	-100.390942	66085.0	GENERAL ESCOBEDO	MONCLOVA 2DO SECT	COLONIA
34344	2014-08-31	1	1.0	25.688004	-100.253845	67130.0	GUADALUPE	LIBERTAD	COLONIA
34344	2014-10-05	1	2.0	25.685827	-100.251038	67130.0	GUADALUPE	LIBERTAD	COLONIA
34375	2014-08-10	1	1.0	25.6841393	-100.2510284	67140.0	GUADALUPE	BENITO JUAREZ	COLONIA
34376	2014-11-16	1	1.0	25.675432	-100.267603	67140.0	GUADALUPE	CONJUNTO HAB CONDOR	COLONIA
34504	2014-09-07	1	2.0	25.658669	-100.221679	67180.0	GUADALUPE	FOMERREY 32	COLONIA
34580	2014-09-14	1	1.0	25.661933	-100.177846	67190.0	GUADALUPE	NIÃOS HEROES	COLONIA
34650	2014-12-07	1	1.0	25.650454	-100.172685	67195.0	GUADALUPE	HACIENDA LA SILLA	COLONIA
34720	2014-09-21	1	3.0	25.6532081	-100.1045198	67255.0	JUÃREZ	VALLE DE LA VICTORIA INFONAVIT	UNIDAD HABITACIONAL
34733	2014-12-28	1	1.0	25.656227	-100.144311	67257.0	JUÃREZ	VALLE DEL VIRREY	COLONIA
34735	2014-07-20	1	1.0	25.6519549	-100.1404461	67257.0	JUÃREZ	BENITO JUAREZ	COLONIA
34741	2014-12-07	1	1.0	25.6516471	-100.1059194	67260.0	JUÃREZ	20 DE SEPTIEMBRE	FRACCIONAMIENTO
34746	2014-11-02	1	2.0	25.634325	-100.102937	67266.0	JUÃREZ	SAN MIGUELITO 1ER SECT	COLONIA
34802	2014-08-31	1	1.0	25.610165	-100.148116	67289.0	JUÃREZ	MONTE KRISTAL	COLONIA
34803	2014-10-12	1	1.0	25.640965	-100.157064	67289.0	JUÃREZ	VALLE DE JUAREZ	COLONIA
34955	2014-07-06	1	1.0	25.676844	-100.316205	64000.0	MONTERREY	CENTRO DE MONTERREY	COLONIA
34955	2014-11-09	1	5.0	25.671313	-100.309081	64000.0	MONTERREY	CENTRO DE MONTERREY	COLONIA
35064	2014-10-26	1	1.0	25.721508	-100.353402	64180.0	MONTERREY	MORELOS	FRACCIONAMIENTO
