source	target
36352	36320
34308	34313
34308	34314
34308	34315
34313	34314
34314	34315
34315	34291
34325	34331
35350	35358
33817	33820
35368	34955
35368	35369
35368	35376
35368	36128
35369	34955
35369	35376
35369	36128
35376	34955
35376	35384
35380	35384
36404	36271
34375	34236
33864	33871
35404	35416
35917	35931
35412	35416
35412	35420
35937	35946
35940	35941
35941	35253
33901	33930
33901	33941
35442	35293
35442	35449
35450	35452
35452	34479
35455	35458
36486	36488
33930	33941
34955	34961
34955	35250
34955	35285
34955	35286
34959	34961
34959	35245
34961	35245
34989	34990
35514	35517
35003	35068
35029	35030
35030	35102
34017	34029
35052	35061
35052	35064
35052	35174
35064	35174
34041	34182
34041	35075
35068	35079
35075	34171
35075	34182
35082	35102
35098	35102
35098	35111
35627	35629
34097	34118
35133	35145
35133	35146
35133	35162
33600	33601
33600	33721
35143	35157
35143	35161
35145	35146
35145	35168
35168	35169
35168	35232
35168	35234
35169	35234
33635	33674
34171	34180
34171	34182
33662	33674
34180	34184
34182	34184
34184	34218
34713	34719
34713	34742
34713	34750
34713	34757
34718	34719
35232	35234
35232	35245
35234	35246
35234	35251
34727	34728
34727	34735
35246	35250
35246	35285
35250	35285
35253	35264
34742	34750
33721	33733
34747	34750
34747	34751
35257	35279
34750	34751
34750	34757
35264	35267
35267	35271
34250	34298
34762	34765
35279	35285
35279	35286
35285	35286
35290	35295
34281	34291
