object_id	postal_code	mun_name	neighborhood_name	neighborhood_type	area	with_event	x_centroid	y_centroid
33634	66612	APODACA	FRACC JARDINES DE LAS PALMAS	COLONIA	9.21629897278e-06	False	-100.255	25.8
33635	66612	APODACA	FRACC METROPLEX 2DO SECT	COLONIA	0.000118427897121	False	-100.258	25.798
33636	66612	APODACA	FRACC NUEVO LAS PUENTES 2DA SECC	COLONIA	1.35619993916e-05	False	-100.258	25.789
33637	66612	APODACA	FRACC NUEVO LAS PUENTES 3RA SECC	COLONIA	7.55884938588e-06	False	-100.263	25.793
33638	66612	APODACA	FRACC PRADOS DE LOS PINOS 1ER SECTC	COLONIA	1.53014982949e-06	False	-100.246	25.784
33639	66612	APODACA	FRACC PRADOS DE LOS PINOS 2DO SECT	COLONIA	2.23075066167e-06	False	-100.246	25.784
33640	66612	APODACA	FRACC PRADOS DE LOS PINOS 3ER SECT	COLONIA	1.58454941039e-06	False	-100.247	25.783
33641	66612	APODACA	FRACC PRADOS DEL VIRREY	COLONIA	4.74710016772e-05	False	-100.267	25.796
33642	66612	APODACA	FRACC VALLE APODACA	COLONIA	4.05900002074e-06	False	-100.258	25.796
33643	66612	APODACA	FRACC VALLE APODACA 1ER SECT	COLONIA	8.96484960437e-06	False	-100.257	25.792
33644	66612	APODACA	FRACC VALLE APODACA 2DO SECT	COLONIA	5.4594498848e-06	False	-100.259	25.792
33645	66612	APODACA	FRACC VALLE APODACA 3ER SECT	COLONIA	3.06304893687e-06	False	-100.258	25.795
33646	66612	APODACA	FRACC VALLE DE LAS BUGAMBILIAS	COLONIA	9.72615017602e-06	False	-100.265	25.794
33647	66612	APODACA	FRACC VALLE DE LAS PALMAS 2DO SECT	COLONIA	9.60805077241e-06	False	-100.267	25.785
33648	66612	APODACA	FRACC VALLE DE LAS PALMAS 3ER SECT	COLONIA	1.02976004866e-05	False	-100.266	25.79
33649	66612	APODACA	FRACC VALLE DE SAN ANDRES 2DO SECT	COLONIA	3.87315065473e-06	False	-100.245	25.799
33650	66612	APODACA	FRACC VALLE DE SAN ANDRES 3ER SECT	COLONIA	4.44449063237e-06	False	-100.243	25.8
33651	66612	APODACA	FRACC VALLE DE SAN ANDRES 4TO SECT	COLONIA	6.96327502071e-05	False	-100.25	25.802
33652	66612	APODACA	FRACC VILLAS PREMIER	COLONIA	2.19965065315e-06	False	-100.256	25.799
33653	66612	APODACA	HACIENDA LAS YUCAS	COLONIA	1.79200070112e-06	False	-100.252	25.799
33654	66612	APODACA	HACIENDA SANTA ISABEL	COLONIA	1.55606500234e-05	False	-100.247	25.786
33655	66612	APODACA	JARDINES DE SAN ANDRES 1ER SECT	COLONIA	2.26481227813e-05	False	-100.24	25.803
