,source,target,weight
319,33626,34955,1
320,33626,34961,1
321,33626,35152,1
322,33626,35173,1
323,33626,35376,1
324,33626,35384,1
325,33626,35410,1
326,33626,35502,1
327,33626,35978,1
328,33626,36362,1
329,33627,33901,1
330,33627,33910,1
331,33627,34282,1
332,33627,35376,1
333,33631,34409,1
334,33631,36433,1
335,33635,33647,1
336,33635,33778,1
337,33635,33901,3
338,33635,33913,1
339,33635,33965,2
340,33635,34029,1
341,33635,34035,1
342,33635,34117,1
343,33635,34198,1
344,33635,34272,1
345,33635,34362,1
346,33635,34366,1
347,33635,34395,1
348,33635,34456,1
349,33635,34614,1
350,33635,34713,1
351,33635,34728,1
352,33635,34890,1
353,33635,34955,3
354,33635,34979,1
355,33635,35000,1
356,33635,35001,1
357,33635,35010,1
358,33635,35030,1
359,33635,35102,1
360,33635,35209,1
361,33635,35264,1
362,33635,35271,1
363,33635,35274,1
364,33635,35283,1
365,33635,35376,1
366,33635,35395,1
367,33635,35404,1
368,33635,35478,1
369,33635,35535,1
370,33635,35627,1
371,33635,35781,1
372,33635,35820,1
373,33635,35873,1
374,33635,35913,1
375,33635,35925,1
376,33635,35931,1
377,33635,35937,1
378,33635,36001,1
379,33635,36065,1
380,33635,36344,1
381,33635,36421,1
382,33647,33651,1
383,33647,33864,1
384,33647,33880,1
385,33647,33901,2
386,33647,34041,1
387,33647,34066,1
388,33647,34286,1
389,33647,34287,1
390,33647,34357,1
391,33647,34529,1
392,33647,34536,1
393,33647,34955,2
394,33647,35010,1
395,33647,35026,1
396,33647,35061,1
397,33647,35102,1
398,33647,35259,1
399,33647,35279,1
400,33647,35286,1
401,33647,35364,1
402,33647,35376,1
403,33647,35404,1
404,33647,36241,1
405,33650,33925,1
406,33650,34029,1
407,33650,34117,1
408,33650,34166,1
409,33650,34180,1
410,33650,34198,1
411,33650,34363,1
412,33650,34719,1
413,33650,34747,1
414,33650,34955,1
415,33650,34979,1
416,33650,34992,1
417,33650,35062,1
418,33650,35116,1
419,33650,35264,1
420,33650,35300,1
421,33650,35404,1
422,33650,35412,1
423,33650,35913,1
424,33650,35925,1
425,33650,36001,1
426,33651,33689,1
427,33651,33714,1
428,33651,33835,1
429,33651,33901,3
430,33651,33941,1
431,33651,34037,1
432,33651,34256,1
433,33651,34287,1
434,33651,34366,1
435,33651,34614,1
436,33651,34634,1
437,33651,34648,1
438,33651,34681,1
439,33651,34955,3
440,33651,35002,1
441,33651,35009,2
442,33651,35010,1
443,33651,35030,1
444,33651,35050,1
445,33651,35143,1
446,33651,35168,1
447,33651,35240,1
448,33651,35264,2
449,33651,35283,1
450,33651,35376,1
451,33651,35377,1
452,33651,35384,2
453,33651,35393,1
454,33651,35395,1
455,33651,35416,1
456,33651,35418,1
457,33651,35478,1
458,33651,35588,1
459,33651,35716,1
460,33651,35776,1
461,33651,35917,1
462,33651,35931,1
463,33651,35937,1
464,33651,36425,1
465,33651,36471,1
466,33651,36488,1
467,33654,33742,1
468,33654,33901,1
469,33654,34014,1
470,33654,34018,1
471,33654,34287,1
472,33654,34358,1
473,33654,34565,1
474,33654,34648,1
475,33654,34681,1
476,33654,34955,1
477,33654,34958,1
478,33654,34961,1
479,33654,35009,1
480,33654,35050,1
481,33654,35121,1
482,33654,35131,1
483,33654,35377,1
484,33654,35393,1
485,33654,35557,1
486,33654,35716,1
487,33654,35915,1
488,33654,35936,1
489,33654,36340,1
490,33654,36377,1
491,33654,36484,1
492,33657,33707,1
493,33657,33820,1
494,33657,33901,1
495,33657,34622,1
496,33657,34647,1
497,33657,34955,1
498,33657,34968,1
499,33657,35289,1
500,33657,35376,1
501,33657,35384,1
502,33657,35436,1
503,33657,35482,1
504,33657,35545,1
505,33662,33860,1
506,33662,33871,1
507,33662,33941,1
508,33662,34037,1
509,33662,34218,1
510,33662,34308,1
511,33662,34735,1
512,33662,34747,1
513,33662,34757,1
514,33662,34955,1
515,33662,34959,1
516,33662,35030,1
517,33662,35075,1
518,33662,35102,1
519,33662,35174,1
520,33662,35264,1
521,33662,35282,1
522,33662,35290,1
523,33662,35350,1
524,33662,35376,1
525,33662,35404,1
526,33662,35412,1
527,33662,35420,1
528,33662,35449,1
529,33662,35897,1
530,33662,35946,1
531,33662,36404,1
532,33662,36488,1
533,33664,33725,1
534,33664,33796,1
535,33664,33814,1
536,33664,33901,1
537,33664,33944,1
538,33664,33953,1
539,33664,34041,1
540,33664,34066,1
541,33664,34359,1
542,33664,34373,1
543,33664,34643,1
544,33664,34648,1
545,33664,34768,1
546,33664,34776,1
547,33664,35068,1
548,33664,35096,1
549,33664,35264,1
550,33664,35285,1
551,33664,35305,1
552,33664,35362,1
553,33664,35384,1
554,33664,35424,1
555,33664,35545,1
556,33664,35696,1
557,33664,35937,1
558,33664,36399,1
559,33668,33822,1
560,33668,34101,1
561,33668,35168,1
562,33668,35169,1
563,33668,35376,1
564,33668,35779,1
565,33668,35875,1
566,33674,33674,1
567,33674,33721,2
568,33674,33724,1
569,33674,33843,1
570,33674,33901,1
571,33674,34020,1
572,33674,34035,1
573,33674,34141,1
