year,date,lat,lon,news,cassualties,url,neighborhood,x,y,cve_mun,nom_mun,cve_loc,nom_loc
2015,2015-09-29,25.8027,-100.604299,Torturan ejecutan y lo tiran de taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=656290,FOMERREY AMPL NOGALES,2639310.146071647,1528762.1548491854,18,García,1,García
2015,2015-09-04,25.790622,-100.422774,Hallan a ejecutado en brecha de Garc&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=634445&v=4,LAS PALMAS,2657442.7938923123,1527618.2289961304,18,García,105,Parque Industrial Ciudad Mitras
2015,2015-09-04,25.827252,-100.634067,Indagan muerte de un hombre,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=634291&v=2,,2636313.1972550275,1531440.7240590043,,,,
2015,2015-09-09,25.547818,-100.008008,Ejecutan a trailero en Cadereyta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=637938,,2699215.2362968083,1501365.631973552,,,,
2015,2015-08-14,25.616893,-100.141144,Muere taxista baleado en hospital,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617290&v=2,MONTE KRISTAL,2685802.6372228544,1508801.5918838056,31,Juárez,313,Arboledas de San Roque
2015,2015-08-28,25.734617,-100.345805,Le cierran el paso y lo acribillan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=628797,MOCTEZUMA,2665196.9304710133,1521529.9055522627,39,Monterrey,1,Monterrey
2015,2015-08-25,25.708184,-100.269445,Acribillan a pareja y a su hijo,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=625821&v=4,FRANCISCO GARZA SADA,2672857.4609076516,1518705.6124618633,39,Monterrey,1,Monterrey
2015,2015-08-24,25.687205,-100.323272,Muere quemado; ten&#237;a antecedentes,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=624302,INDUSTRIAL,2667508.2114782184,1516328.8132398087,39,Monterrey,1,Monterrey
2015,2015-08-21,25.705329000000006,-100.281293,Abaten a ladr&#243;n de autos,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622164&v=6,MODERNA,2671677.8458500854,1518376.616800545,39,Monterrey,1,Monterrey
2015,2015-08-21,25.787071,-100.381679,Hallan a asesinado en Ciudad Solidaridad,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5,BARRIO TOPO CHICO,2661549.2497044187,1527272.401770735,39,Monterrey,1,Monterrey
2015,2015-08-15,25.759746,-100.385995,Ejecutan a guardia de table,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617189&v=2,FOMERREY 110,2661152.3286900693,1524254.7690005484,39,Monterrey,1,Monterrey
2015,2015-08-14,25.729691,-100.324588,Paseaba al perro cuando lo matan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617085&v=2,AVANCE PROLETARIO,2667322.0247764387,1521011.3948960232,39,Monterrey,1,Monterrey
2015,2015-08-10,25.625582,-100.299418,Ejecutan a cliente de un restaurante,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=613196&v=3,DEL PASEO RESIDENCIAL,2669971.7183558056,1509563.1762432707,39,Monterrey,1,Monterrey
2015,2015-08-05,25.690509,-100.319564,Ejecutan a menor a balazos,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=609440&v=2,INDUSTRIAL,2667874.3623278476,1516697.411837462,39,Monterrey,1,Monterrey
2015,2015-08-14,25.655434,-100.21387,Dejan a ejecutado en camioneta robada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617085&v=2,VALLE LA SILLA,2678480.7485439107,1512958.1142630894,26,Guadalupe,1,Guadalupe
2015,2015-08-26,25.760052,-100.236395,Hallan ejecutado a ladr&#243;n en Apodaca,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=626691&v=2,FRANCISCO ELIZONDO,2676088.1901707607,1524464.393851654,6,Apodaca,1,Ciudad Apodaca
2015,2015-08-14,25.674498,-100.419792,Dan a tr&#225;nsito el tiro de gracia,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617081&v=3,ESTACION LEONA,2657881.5243153,1514818.388778557,19,San Pedro Garza García,1,San Pedro Garza García
2015,2015-08-04,25.433437,-100.115214,Ejecutan a pap&#225; de comandante,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=608485&v=3,,2688660.1126179844,1488612.4465364714,,,,
2015,2015-08-21,25.560929,-100.011484,Ejecutan a menor de 14 a&#241;os,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5,,2698847.5903887223,1502806.0942648053,,,,
2015,2015-07-28,25.656898,-100.32547,Ejecutan a un joven al tercer intento,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=602870&v=2,INDEPENDENCIA,2667327.65088753,1512984.9710354167,39,Monterrey,1,Monterrey
2015,2015-07-30,25.783142,-100.31592,Lo ejecutan tras patearlo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=604821&v=2,TOPO GRANDE,2668118.4475613167,1526914.776025994,21,General Escobedo,1,Ciudad General Escobedo
2015,2015-06-15,25.6869585,-100.2803447,Ejecutan a 2 en Pablo A. de la Garza,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=566762&v=2,FABRILES,2671796.8506253585,1516352.4160838993,39,Monterrey,1,Monterrey
