year,date,lat,lon,news,cassualties,url,object_id,postal_code,mun_name,neighborhood_name,neighborhood_type,area
2015,2015-08-21,25.70532900000001,-100.281293,Abaten a ladr&#243;n de autos,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622164&v=6,35264,64530.0,MONTERREY,MODERNA,COLONIA,0.000221281086398
2015,2015-08-21,25.787071,-100.381679,Hallan a asesinado en Ciudad Solidaridad,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5,34982,64102.0,MONTERREY,BARRIO TOPO CHICO,COLONIA,2.77666508987e-05
2015,2015-08-15,25.759746,-100.385995,Ejecutan a guardia de table,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617189&v=2,35007,64106.0,MONTERREY,FOMERREY 110,COLONIA,2.52906996554e-05
2015,2015-08-14,25.729691,-100.324588,Paseaba al perro cuando lo matan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617085&v=2,35150,64265.0,MONTERREY,AVANCE PROLETARIO,COLONIA,2.4625999580400003e-06
2015,2015-08-10,25.625582,-100.299418,Ejecutan a cliente de un restaurante,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=613196&v=3,35497,64920.0,MONTERREY,DEL PASEO RESIDENCIAL,COLONIA,1.45947099568e-05
2015,2015-08-05,25.690509,-100.319564,Ejecutan a menor a balazos,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=609440&v=2,35172,64299.0,MONTERREY,INDUSTRIAL,FRACCIONAMIENTO,0.00011863483304899997
2015,2015-08-14,25.655434,-100.21387,Dejan a ejecutado en camioneta robada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617085&v=2,34524,67180.0,GUADALUPE,VALLE LA SILLA,COLONIA,7.99104990253e-06
2015,2015-08-26,25.760052,-100.236395,Hallan ejecutado a ladr&#243;n en Apodaca,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=626691&v=2,33709,66630.0,APODACA,FRANCISCO ELIZONDO,COLONIA,4.56486011264e-05
2015,2015-08-14,25.674498,-100.419792,Dan a tr&#225;nsito el tiro de gracia,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617081&v=3,36277,66149.0,SANTA CATARINA,ESTACION LEONA,COLONIA,4.11817005325e-05
2015,2015-08-04,25.433437,-100.115214,Ejecutan a pap&#225; de comandante,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=608485&v=3,0,,,,,
2015,2015-08-21,25.560929,-100.011484,Ejecutan a menor de 14 a&#241;os,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5,0,,,,,
2015,2015-07-28,25.656898,-100.32547,Ejecutan a un joven al tercer intento,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=602870&v=2,35376,64720.0,MONTERREY,INDEPENDENCIA,FRACCIONAMIENTO,0.000221969402392
2015,2015-07-30,25.783142,-100.31592,Lo ejecutan tras patearlo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=604821&v=2,34125,66056.0,GENERAL ESCOBEDO,TOPO GRANDE,COLONIA,1.52139494515e-05
2015,2015-06-15,25.6869585,-100.2803447,Ejecutan a 2 en Pablo A. de la Garza,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=566762&v=2,35273,64550.0,MONTERREY,FABRILES,COLONIA,2.44947011489e-05
2015,2015-06-01,25.7815621,-100.1875974,Acribillan a tortillero en Apodaca,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=554084&v=2,33600,66600.0,APODACA,APODACA CENTRO,COLONIA,0.00016303995049200002
2015,2015-06-13,25.6685405,-100.4615679,Lo asesinan desde una camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565231&v=2,36319,66350.0,SANTA CATARINA,SANCA,COLONIA,2.57714512278e-05
