,OBJECTID,POSTALCODE,ST_NAME,MUN_NAME,SETT_NAME,SETT_TYPE,WITH_EVENT,x_centroid,y_centroid
240,33764,66635,NUEVO LEON,APODACA,FRACC ENRAMADA 7MO SECT,COLONIA,False,-100.256,25.764
241,33765,66635,NUEVO LEON,APODACA,FRACC MAGNOLIAS,COLONIA,False,-100.255,25.774
242,33766,66635,NUEVO LEON,APODACA,FRACC PASEO LAS PALMAS 1ER SECT,COLONIA,False,-100.266,25.783
243,33767,66635,NUEVO LEON,APODACA,FRACC PASEO LAS PALMAS 2DO SECT,COLONIA,False,-100.265,25.775
244,33768,66635,NUEVO LEON,APODACA,FRACC PRADERAS 1ER SECT,COLONIA,False,-100.26,25.772
245,33769,66635,NUEVO LEON,APODACA,FRACC PRADERAS 2DO SECT,COLONIA,False,-100.257,25.771
246,33770,66635,NUEVO LEON,APODACA,FRACC VALLE DE LAS PALMAS 1ER SECT,COLONIA,False,-100.267,25.78
247,33771,66635,NUEVO LEON,APODACA,HACIENDA LAS PALMAS,COLONIA,True,-100.266,25.772
248,33772,66635,NUEVO LEON,APODACA,HACIENDA LAS PALMAS 2DO SECT,COLONIA,True,-100.267,25.776
249,33773,66635,NUEVO LEON,APODACA,HACIENDA LOS ENCINOS,COLONIA,False,-100.263,25.776
250,33774,66635,NUEVO LEON,APODACA,HACIENDA LOS PINOS 3ER SECT,COLONIA,True,-100.254,25.771
251,33775,66635,NUEVO LEON,APODACA,JARDINES DE APODACA,COLONIA,False,-100.263,25.772
252,33776,66635,NUEVO LEON,APODACA,JARDINES DE LA ENRAMADA,COLONIA,False,-100.254,25.761
253,33777,66635,NUEVO LEON,APODACA,LA ENRAMADA,COLONIA,False,-100.256,25.761
254,33778,66635,NUEVO LEON,APODACA,LOS FRESNOS 2DO SECT,COLONIA,True,-100.253,25.769
255,33779,66635,NUEVO LEON,APODACA,LOS FRESNOS 3ER SECT,COLONIA,False,-100.252,25.767
256,33780,66635,NUEVO LEON,APODACA,LOS FRESNOS INFONAVIT,COLONIA,False,-100.258,25.769
257,33781,66635,NUEVO LEON,APODACA,NUEVA DEMOCRACIA,COLONIA,False,-100.264,25.779
258,33782,66635,NUEVO LEON,APODACA,PASEO DE LAS PALMAS 3ER SECT,COLONIA,False,-100.265,25.779
259,33783,66635,NUEVO LEON,APODACA,PASEO DE LAS PALMAS 4TO SECT,COLONIA,False,-100.265,25.781
260,33784,66635,NUEVO LEON,APODACA,RES LOS ROBLES,COLONIA,True,-100.261,25.779
261,33785,66635,NUEVO LEON,APODACA,VILLA LUZ,COLONIA,False,-100.265,25.765
262,33786,66635,NUEVO LEON,APODACA,VILLA SOL,COLONIA,False,-100.265,25.769
263,33787,66635,NUEVO LEON,APODACA,FOMERREY 4,COLONIA,True,-100.262,25.767
264,33788,66635,NUEVO LEON,APODACA,FRACC CORTIJO LAS PALMAS,COLONIA,False,-100.265,25.787
265,33789,66635,NUEVO LEON,APODACA,FRACC ENRAMADA 2DO SECT,COLONIA,False,-100.256,25.762
266,33790,66636,NUEVO LEON,APODACA,FRACC PASEO DE LOS NOGALES,COLONIA,False,-100.243,25.775
267,33791,66636,NUEVO LEON,APODACA,FRACC PASEO DE LOS PINOS 2DO SECT,COLONIA,True,-100.246,25.778
268,33792,66636,NUEVO LEON,APODACA,FRACC PINOS 2DO SECT,COLONIA,False,-100.25,25.774
