,OBJECTID,POSTALCODE,ST_NAME,MUN_NAME,SETT_NAME,SETT_TYPE,WITH_EVENT,x_centroid,y_centroid
58,33582,65034,NUEVO LEON,ANÃHUAC,LAZARO CARDENAS,COLONIA,False,-100.131,27.248
59,33583,65034,NUEVO LEON,ANÃHUAC,LOMAS DE ANAHUAC,COLONIA,False,-100.127,27.25
60,33584,65040,NUEVO LEON,ANÃHUAC,INDEPENDENCIA,COLONIA,False,-100.14,27.227
61,33585,65042,NUEVO LEON,ANÃHUAC,CARLOS SALINAS DE GORTARI,COLONIA,False,-100.151,27.229
62,33586,65042,NUEVO LEON,ANÃHUAC,CHAPULTEPEC,COLONIA,False,-100.148,27.231
63,33587,65042,NUEVO LEON,ANÃHUAC,RAUL CABALLERO ESCAMILLA,COLONIA,False,-100.156,27.224
64,33588,65057,NUEVO LEON,ANÃHUAC,NUEVO CAMARÃN,EJIDO,False,-99.992,27.101
65,33589,65059,NUEVO LEON,ANÃHUAC,NUEVO RODRIGUEZ,EJIDO,False,-100.014,27.07
66,33590,65059,NUEVO LEON,ANÃHUAC,ANAHUAC,EJIDO,False,-100.147,27.225
67,33591,65059,NUEVO LEON,ANÃHUAC,RODRIGUEZ,EJIDO,False,-100.143,27.233
68,33592,65059,NUEVO LEON,ANÃHUAC,NUEVO ANÃHUAC,EJIDO,False,-100.034,27.028
69,33593,66600,NUEVO LEON,APODACA,MANUEL VILLARREAL,COLONIA,False,-100.182,25.785
70,33594,66600,NUEVO LEON,APODACA,MODERNO APODACA,COLONIA,False,-100.183,25.779
71,33595,66600,NUEVO LEON,APODACA,MODERNO APODACA 2DO SECT,COLONIA,False,-100.181,25.781
72,33596,66600,NUEVO LEON,APODACA,NUEVO APODACA,COLONIA,False,-100.184,25.791
73,33597,66600,NUEVO LEON,APODACA,PARQUE INDUSTRIAL QUADRUM,COLONIA,True,-100.205,25.768
74,33598,66600,NUEVO LEON,APODACA,SAN FRANCISCO,COLONIA,False,-100.183,25.785
75,33599,66600,NUEVO LEON,APODACA,SANTA ROSA 2DO SECT,COLONIA,False,-100.191,25.785
76,33600,66600,NUEVO LEON,APODACA,APODACA CENTRO,COLONIA,True,-100.191,25.779
77,33601,66600,NUEVO LEON,APODACA,FUTURO APODACA,COLONIA,True,-100.174,25.786
78,33602,66600,NUEVO LEON,APODACA,HOMERO SEPULVEDA,COLONIA,False,-100.191,25.776
79,33603,66603,NUEVO LEON,APODACA,PARQUE INDUSTRIAL RHON POLENC,PARQUE INDUSTRIAL,False,-100.181,25.777
80,33604,66603,NUEVO LEON,APODACA,PARQUE INDUSTRIAL UCAR,PARQUE INDUSTRIAL,False,-100.178,25.772
81,33605,66603,NUEVO LEON,APODACA,INDUSTRIAL MONTERREY,PARQUE INDUSTRIAL,False,-100.17,25.774
82,33606,66603,NUEVO LEON,APODACA,PARQUE INDUSTRIAL KRONOS,PARQUE INDUSTRIAL,False,-100.163,25.776
83,33607,66603,NUEVO LEON,APODACA,PARQUE INDUSTRIAL PIMSA SUR,PARQUE INDUSTRIAL,False,-100.162,25.766
84,33608,66604,NUEVO LEON,APODACA,BUROCRATAS MUNICIPALES,COLONIA,False,-100.195,25.783
85,33609,66604,NUEVO LEON,APODACA,CASAS REALES DE APODACA,COLONIA,True,-100.207,25.776
86,33610,66604,NUEVO LEON,APODACA,FRACC SANTA ROSA 1ER SECT,COLONIA,False,-100.193,25.784
87,33611,66605,NUEVO LEON,APODACA,BENITO JUAREZ,COLONIA,False,-100.184,25.788
88,33612,66605,NUEVO LEON,APODACA,PEDREGAL DEL VALLE,COLONIA,False,-100.204,25.797
89,33613,66605,NUEVO LEON,APODACA,TERESITA,COLONIA,True,-100.204,25.808
90,33614,66606,NUEVO LEON,APODACA,RINCONADA COLONIAL,FRACCIONAMIENTO,False,-100.201,25.789
91,33615,66610,NUEVO LEON,APODACA,FRACC EXHACIENDA SANTA ROSA,COLONIA,False,-100.215,25.796
92,33616,66610,NUEVO LEON,APODACA,PRADOS DE SANTA ROSA,COLONIA,False,-100.224,25.794
93,33617,66610,NUEVO LEON,APODACA,RES EBANOS 10MO SECT,COLONIA,True,-100.232,25.78
94,33618,66610,NUEVO LEON,APODACA,RES EBANOS 11VO SECT,COLONIA,False,-100.23,25.776
95,33619,66610,NUEVO LEON,APODACA,RES EBANOS 7MO SECT,COLONIA,False,-100.236,25.78
96,33620,66610,NUEVO LEON,APODACA,RES EBANOS 8VO SECT,COLONIA,False,-100.234,25.779
97,33621,66610,NUEVO LEON,APODACA,RES EBANOS 9NO SECT,COLONIA,False,-100.238,25.78
98,33622,66610,NUEVO LEON,APODACA,RINCON DE SANTA ROSA,COLONIA,False,-100.231,25.801
99,33623,66610,NUEVO LEON,APODACA,SANTA ROSA,COLONIA,True,-100.226,25.816
100,33624,66610,NUEVO LEON,APODACA,VALLE DE LOS NOGALES,COLONIA,False,-100.233,25.792
101,33625,66610,NUEVO LEON,APODACA,ANTIGUA SANTA ROSA,COLONIA,False,-100.229,25.791
102,33626,66610,NUEVO LEON,APODACA,EBANOS 12VO SECC,COLONIA,True,-100.222,25.783
103,33627,66610,NUEVO LEON,APODACA,FRACC BALCONES DE SANTA ROSA,COLONIA,True,-100.228,25.804
104,33628,66612,NUEVO LEON,APODACA,FRACC BOSQUE REAL 3ER SECT,COLONIA,False,-100.243,25.786
105,33629,66612,NUEVO LEON,APODACA,FRACC EBANOS NORTE 1ER SECT,COLONIA,False,-100.24,25.789
106,33630,66612,NUEVO LEON,APODACA,FRACC EBANOS NORTE 2DO SECT,COLONIA,False,-100.238,25.791
107,33631,66612,NUEVO LEON,APODACA,FRACC EBANOS NORTE 3ER SECT,COLONIA,True,-100.235,25.795
108,33632,66612,NUEVO LEON,APODACA,FRACC EL MOLINO,COLONIA,False,-100.251,25.798
109,33633,66612,NUEVO LEON,APODACA,FRACC INSURGENTES,COLONIA,False,-100.261,25.794
110,33634,66612,NUEVO LEON,APODACA,FRACC JARDINES DE LAS PALMAS,COLONIA,False,-100.255,25.8
111,33635,66612,NUEVO LEON,APODACA,FRACC METROPLEX 2DO SECT,COLONIA,True,-100.258,25.798
112,33636,66612,NUEVO LEON,APODACA,FRACC NUEVO LAS PUENTES 2DA SECC,COLONIA,False,-100.258,25.789
113,33637,66612,NUEVO LEON,APODACA,FRACC NUEVO LAS PUENTES 3RA SECC,COLONIA,False,-100.263,25.793
114,33638,66612,NUEVO LEON,APODACA,FRACC PRADOS DE LOS PINOS 1ER SECTC,COLONIA,False,-100.246,25.784
