year,date,lat,lon,news,cassualties,url,area,OBJECTID,POSTALCODE,MUN_NAME,SETT_NAME,SETT_TYPE
2015,2015-04-15,25.81997,-100.29617900000001,Hallan en Escobedo a mujer momificada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=515543&v=2,0.00017191504753599998,34088,66053,GENERAL ESCOBEDO,RAUL CABALLERO,COLONIA
2015,2015-04-20,25.926778,-100.36856,Ejecutan a plagiado tras cobrar rescate,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519562&v=4,,0,,,,
2015,2015-04-27,25.680683,-100.437793,Muere en el HU mesero baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525409,1.94209882471e-06,36257,66120,SANTA CATARINA,LOS PORTALES II,COLONIA
2015,2015-04-12,25.679533,-100.419078,Dejan a decapitado dentro de un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512587&v=3,1.65496991624e-05,36276,66149,SANTA CATARINA,TRABAJADORES,COLONIA
2015,2015-04-11,25.688608,-100.41676,Ejecutan a joven en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512057&v=2,1.1438670240999997e-05,35973,66210,SAN PEDRO GARZA GARCÍA,AMPL SAN PEDRO 400,COLONIA
2015,2015-04-30,25.599504999999997,-99.994469,Matan en su casa a pastor cristiano,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=528977,2.33615398901e-05,33910,67483,CADEREYTA JIMÉNEZ,NUEVA CADEREYTA,COLONIA
2015,2015-04-29,25.598917,-99.983257,Tiran en Cadereyta a mec&#225;nico ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=527873&v=2,3.67828503199e-05,33908,67483,CADEREYTA JIMÉNEZ,LAZARO CARDENAS 1ER SECT,COLONIA
2015,2015-03-10,25.633062,-100.097347,Tiran en lona a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484808&v=3,0.000167920949439,34750,67266,JUÁREZ,EL MIRADOR,COLONIA
2015,2015-03-18,25.675570999999998,-100.332562,Hallan a un ejecutado en cajuela de taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=492292&v=5,2.0068201754000003e-05,34969,64060,MONTERREY,NUEVO OBISPADO,COLONIA
2015,2015-03-14,25.6587204,-100.3175155,Levantan y ejecutan a m&#250;sico,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489021,0.000221969402392,35376,64720,MONTERREY,INDEPENDENCIA,FRACCIONAMIENTO
2015,2015-03-07,25.6920483,-100.3322478,Acribillan a joven en la 10 de Marzo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=483294&v=2,1.98438996513e-05,35248,64488,MONTERREY,10 DE MARZO,COLONIA
2015,2015-03-19,25.806485000000002,-100.091893,Aparece ejecutado joven en Pesquer&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=493585,,0,,,,
2015,2015-03-18,25.663708,-100.257257,Hallan cad&#225;ver enterrado en R&#237;o La Silla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=491790&v=6,0.00010054800861599999,34362,67140,GUADALUPE,JARDINES DE LA PASTORA,COLONIA
2015,2015-03-10,25.687303,-100.23407809999999,Lo asesinan desde un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484932&v=4,2.26496009823e-05,34391,67150,GUADALUPE,RES AZTECA,COLONIA
2015,2015-03-22,25.797334,-100.315398,Ejecutan a hombre en Escobedo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=495600&v=4,4.16570012023e-05,34131,66057,GENERAL ESCOBEDO,INFONAVIT MONTERREAL,COLONIA
2015,2015-03-14,25.7802165,-100.3161126,Encuentran a hombre muerto en camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489042&v=2,1.95029266195e-05,34101,66055,GENERAL ESCOBEDO,JOYA DE ANAHUAC SECT FLORENCIA,COLONIA
2015,2015-03-14,25.6685405,-100.4615679,Hallan cuerpo semienterrado en patio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=488993&v=2,2.57714512278e-05,36319,66350,SANTA CATARINA,SANCA,COLONIA
2015,2015-03-07,25.632074600000003,-100.2860881,Ejecutan a mujer,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=482933&v=2,9.099649729869999e-06,35424,64788,MONTERREY,REVOLUCION PROLETARIA,COLONIA
2015,2015-02-23,25.76364,-100.26089499999999,Lo rafaguean frente a su casa y muere,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=473700&v=2,2.72564491684e-05,33787,66635,APODACA,FOMERREY 4,COLONIA
2015,2015-02-23,25.63005,-100.30644000000001,Va racha al alza; ahora matan a 3,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863,3.26570003725e-05,35400,64754,MONTERREY,JARDIN DE LAS TORRES,COLONIA
2015,2015-02-21,25.6980518,-100.32519640000001,Ejecutan otra vez en Bar Matehuala,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470927&v=5,8.78778028298e-05,35234,64410,MONTERREY,BELLAVISTA,COLONIA
2015,2015-02-21,25.6768776,-100.2900361,Esconden hallazgo de decapitado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470989,0.00014344229981600002,34956,64010,MONTERREY,OBRERA,COLONIA
2015,2015-02-20,25.7580391,-100.426662,Ejecutan a hombre en su domicilio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470583,0.00020957024718799998,34047,64346,GENERAL ESCOBEDO,CUMBRES SAN AGUSTIN,COLONIA
2015,2015-02-02,25.72391,-100.345313,Matan a cabecilla de c&#233;lula del crimen,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=455004&v=2,2.11276509065e-05,35062,64180,MONTERREY,VALLE MORELOS,FRACCIONAMIENTO
2015,2015-02-05,25.645606,-100.162853,Desaparece alumna y la hallan ejecutada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458074&v=6,0.000155627198673,34724,67257,JUÁREZ,FRACC MONTE VERDE,COLONIA
2015,2015-02-06,25.799739000000002,-100.617731,Hallan a enterrado en cerro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458927&v=2,,0,,,,
2015,2015-02-22,25.674072,-100.430211,Tiran a ejecutado en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472014&v=2,8.75588420453e-05,36241,66100,SANTA CATARINA,LA FAMA,COLONIA
2015,2015-02-19,25.585239,-99.9985729,Tras ejecuci&#243;n cae cabecilla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=469597,0.000832080719522,33901,67480,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,COLONIA
2015,2015-01-30,25.664161,-100.138452,Le cobran $500 luego lo acribillan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=452993&v=4,3.83610687715e-05,34737,67257,JUÁREZ,COAHUILA,COLONIA
2015,2015-01-06,25.72135771,-100.35332159999999,Hallan cuerpo calcinado en Col. Del Maestro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=432808&v=4,3.84477619715e-05,35064,64180,MONTERREY,MORELOS,FRACCIONAMIENTO
2015,2015-01-04,25.663949,-100.291416,Balea a pap&#225; e hijos y causa muerte de 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431973,3.44010509793e-05,35449,64810,MONTERREY,ESPAÑA,FRACCIONAMIENTO
2015,2015-01-04,25.788145,-100.380235,Ejecutan a conductor pistoleros en taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431978,3.62837491907e-05,35078,64209,MONTERREY,FRACC RIVERAS DEL BOSQUE,FRACCIONAMIENTO
2015,2015-01-27,25.762539999999998,-100.166208,Acribillan a joven afuera de su casa,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450230&v=6,1.67232999706e-05,33840,66646,APODACA,PUEBLO NUEVO,COLONIA
2015,2015-01-30,25.804559,-100.27812800000001,Ejecutan a 3 en minis&#250;per,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=453268&v=2,2.33037996666e-05,34077,66052,GENERAL ESCOBEDO,MOL DEL YONKE,COLONIA
2015,2015-01-25,25.702108,-100.458968,Los matan enfrente de su casa,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=448365&v=2,5.6207015435000004e-05,36430,66369,SANTA CATARINA,SAN GILBERTO (FOMERREY 137),COLONIA
2015,2015-01-20,25.694891000000002,-100.497941,Carga a su hija y lo ejecutan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=444500&v=3,2.27848002678e-05,36417,66367,SANTA CATARINA,PUERTA DE LAS MITRAS,COLONIA
2015,2015-01-11,25.659153,-100.43454399999999,Matan sicarios a 2 en Santa Catarina,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=437198&v=4,1.0217400001e-05,36307,66198,SANTA CATARINA,LA FORTALEZA,COLONIA
2015,2015-01-27,25.603208,-100.077843,Lo ejecutan c&#243;mplices por fallar como halc&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450071&v=3,,0,,,,
2015,2015-10-24,25.61768,-100.25935,Alcanzan taxi y ejecutan a 2,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=677141&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=677141&v=2&flow_type=paywall,4.24150224827e-05,35483,64878,MONTERREY,EJIDAL LOS REMATES,COLONIA
2015,2015-10-29,25.6836728,-100.3264108,A �l lo ejecutan; a ella la levantan,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=681393&v=6&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=681393&v=6&flow_type=paywall,0.000716583798616,34955,64000,MONTERREY,CENTRO DE MONTERREY,COLONIA
2015,2015-10-18,25.6883755,-100.32571949999999,Ejecutan a dos desde veh�culos en marcha,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=671501&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=671501&v=3&flow_type=paywall,0.00011863483304899998,35172,64299,MONTERREY,INDUSTRIAL,FRACCIONAMIENTO
2015,2015-10-16,25.7659068,-100.364755,Asesinan a taxista,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670273&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670273&v=2&flow_type=paywall,4.94789986027e-06,35088,64217,MONTERREY,DIF FOMERREY 15,FRACCIONAMIENTO
