object_id1,object_id2,count,mun_name_x,neighborhood_name_x,mun_name_y,neighborhood_name_y,year
33901.0,34955.0,7,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,CENTRO DE MONTERREY,2011
34955.0,35264.0,5,MONTERREY,CENTRO DE MONTERREY,MONTERREY,MODERNA,2011
33901.0,35384.0,5,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,ARTURO B DE LA GARZA,2011
33901.0,34298.0,5,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,GUADALUPE,RIBERAS DE LA SILLA (FOMERREY 31),2011
35102.0,35588.0,4,MONTERREY,FRANCISCO VILLA,PESQUERÍA,PESQUERIA,2011
34955.0,35102.0,4,MONTERREY,CENTRO DE MONTERREY,MONTERREY,FRANCISCO VILLA,2011
33901.0,35264.0,4,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,MODERNA,2011
34955.0,36488.0,4,MONTERREY,CENTRO DE MONTERREY,SANTIAGO,CONCEPCION SALAZAR,2011
35102.0,35264.0,4,MONTERREY,FRANCISCO VILLA,MONTERREY,MODERNA,2011
34955.0,35384.0,4,MONTERREY,CENTRO DE MONTERREY,MONTERREY,ARTURO B DE LA GARZA,2011
34955.0,35376.0,3,MONTERREY,CENTRO DE MONTERREY,MONTERREY,INDEPENDENCIA,2011
34955.0,35588.0,3,MONTERREY,CENTRO DE MONTERREY,PESQUERÍA,PESQUERIA,2011
33901.0,35532.0,3,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,LOS CRISTALES,2011
35376.0,35545.0,3,MONTERREY,INDEPENDENCIA,MONTERREY,JARDINES DE LA ESTANZUELA,2011
35264.0,35588.0,3,MONTERREY,MODERNA,PESQUERÍA,PESQUERIA,2011
35384.0,35588.0,3,MONTERREY,ARTURO B DE LA GARZA,PESQUERÍA,PESQUERIA,2011
34029.0,34955.0,3,GARCÍA,LA CRUZ,MONTERREY,CENTRO DE MONTERREY,2011
33901.0,35376.0,3,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,INDEPENDENCIA,2011
33901.0,35102.0,2,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,FRANCISCO VILLA,2011
34298.0,36001.0,2,GUADALUPE,RIBERAS DE LA SILLA (FOMERREY 31),SAN PEDRO GARZA GARCÍA,DEL VALLE,2011
35102.0,35384.0,2,MONTERREY,FRANCISCO VILLA,MONTERREY,ARTURO B DE LA GARZA,2011
33901.0,35545.0,2,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,JARDINES DE LA ESTANZUELA,2011
34298.0,34955.0,2,GUADALUPE,RIBERAS DE LA SILLA (FOMERREY 31),MONTERREY,CENTRO DE MONTERREY,2011
34041.0,36488.0,2,GENERAL ESCOBEDO,LA ALIANZA,SANTIAGO,CONCEPCION SALAZAR,2011
33901.0,33965.0,2,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,CIÉNEGA DE FLORES,CIENEGA DE FLORES CENTRO,2011
34634.0,34955.0,2,GUADALUPE,CIUDAD CROC,MONTERREY,CENTRO DE MONTERREY,2011
33600.0,34955.0,2,APODACA,APODACA CENTRO,MONTERREY,CENTRO DE MONTERREY,2011
34298.0,35102.0,2,GUADALUPE,RIBERAS DE LA SILLA (FOMERREY 31),MONTERREY,FRANCISCO VILLA,2011
33901.0,35178.0,2,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,MONTERREY,MITRAS NORTE,2011
35264.0,35524.0,2,MONTERREY,MODERNA,MONTERREY,FRACCIONAMIENTO LA RIOJA,2011
33953.0,34955.0,2,CARMEN,EL CARMEN CENTRO,MONTERREY,CENTRO DE MONTERREY,2011
35096.0,35937.0,2,MONTERREY,TIRO AL BLANCO,SAN NICOLÁS DE LOS GARZA,CONSTITUYENTES DE QUERETARO SECT 2,2011
34395.0,34713.0,2,GUADALUPE,EL SABINO,JUÁREZ,BENITO JUAREZ CENTRO,2011
34461.0,35178.0,2,GUADALUPE,COUNTRY LA SILLA,MONTERREY,MITRAS NORTE,2011
35376.0,35384.0,2,MONTERREY,INDEPENDENCIA,MONTERREY,ARTURO B DE LA GARZA,2011
35102.0,35557.0,2,MONTERREY,FRANCISCO VILLA,MONTERREY,LOMAS DE VALLE ALTO,2011
35102.0,35524.0,2,MONTERREY,FRANCISCO VILLA,MONTERREY,FRACCIONAMIENTO LA RIOJA,2011
34395.0,34955.0,2,GUADALUPE,EL SABINO,MONTERREY,CENTRO DE MONTERREY,2011
35068.0,35264.0,2,MONTERREY,CROC,MONTERREY,MODERNA,2011
34461.0,34955.0,2,GUADALUPE,COUNTRY LA SILLA,MONTERREY,CENTRO DE MONTERREY,2011
34955.0,35454.0,2,MONTERREY,CENTRO DE MONTERREY,MONTERREY,JARDIN ESPAÑOL,2011
34768.0,35384.0,2,JUÁREZ,AMERICA UNIDA,MONTERREY,ARTURO B DE LA GARZA,2011
34713.0,35178.0,2,JUÁREZ,BENITO JUAREZ CENTRO,MONTERREY,MITRAS NORTE,2011
34029.0,35261.0,2,GARCÍA,LA CRUZ,MONTERREY,CEMENTOS,2011
33965.0,34955.0,2,CIÉNEGA DE FLORES,CIENEGA DE FLORES CENTRO,MONTERREY,CENTRO DE MONTERREY,2011
33721.0,34955.0,2,APODACA,KALOS,MONTERREY,CENTRO DE MONTERREY,2011
34029.0,35264.0,2,GARCÍA,LA CRUZ,MONTERREY,MODERNA,2011
34955.0,35694.0,2,MONTERREY,CENTRO DE MONTERREY,SAN NICOLÁS DE LOS GARZA,BALCONES DE ANAHUAC,2011
34955.0,35478.0,2,MONTERREY,CENTRO DE MONTERREY,MONTERREY,CONTRY,2011
34298.0,35532.0,2,GUADALUPE,RIBERAS DE LA SILLA (FOMERREY 31),MONTERREY,LOS CRISTALES,2011
