		Total	Abasolo	Agualeguas	Los Aldamas	Allende	Anahuac	Apodaca	Aramberri	Bustamante	Cadereyta Jimenez	El Carmen	Cerralvo	Cienega de Flores	China	Doctor Arroyo	Doctor Coss	Doctor Gonzalez	Galeana	Garcia	San Pedro Garza Garcia	General Bravo	General Escobedo	General Teran	General Treviño	General Zaragoza	General Zuazua	Guadalupe	Los Herreras	Higueras	Hualahuises	Iturbide	Juarez	Lampazos de Naranjo	Linares	Marin	Melchor Ocampo	Mier y Noriega	Mina	Montemorelos	Monterrey	Parás	Pesquería	Los Ramones	Rayones	Sabinas Hidalgo	Salinas Victoria	San Nicolás de los Garza	Hidalgo	Santa Catarina	Santiago	Vallecillo	Villaldama
1993	Total	16040							10		3				1	12			2				3			2		9					3		2			1		1	63					1		4	1	1	2		
1993	Enero	1406									1												1					1													6												
1993	Febrero	1235														1																						1		1	4												
1993	Marzo	1318																																							7							1		1			
1993	Abril	1268							1							2			2				1										1													1							
1993	Mayo	1484																					1										1		1						5												
1993	Junio	1303							1							1																									6												
1993	Julio	1257							1							2												1													7							1	1		1		
1993	Agosto	1335							1							2										1		2					1								6							1			1		
1993	Septiembre	1173							1																																4												
1993	Octubre	1343							1							1												2													2												
1993	Noviembre	1255							4						1	2												2													6							1					
1993	Diciembre	1559									2					1										1		1							1						7												
1993	No especificado	104																																							3												
1994	Total	15839				1	2	3	1		3		1		1	5			5		2		3	2		1		4					3		8			2	1	3	63			1		2		12		3	1		
1994	Enero	1343					1									1												1													5							1					
1994	Febrero	1304					1																																		5							1					
1994	Marzo	1343													1																				1						7			1									
1994	Abril	1241														1			1									1							2				1		3									1			
1994	Mayo	1466						1					1															1							1			2		1	6							1					
1994	Junio	1198						1													2												2		1						5					2				1	1		
1994	Julio	1371				1			1							2							2										1		3						7							1					
1994	Agosto	1218						1			2								4																						8							1		1			
1994	Septiembre	1369																								1														1	6							3					
1994	Octubre	1322																						1																	4							1					
1994	Noviembre	1190																						1																	3							1					
1994	Diciembre	1371									1					1							1					1												1	4							1					
1994	No especificado	103																																														1					
1995	Total	15612					1	2	1		2	1	1	2	1	2			4	1	1		3					13		1			2		6			2	1	6	56					2		7	1	2	1		1
1995	Enero	1285																					1																		4							1					
1995	Febrero	1187																										2										1			5												
1995	Marzo	1251					1														1							2							1					2	5							1					
1995	Abril	1297																										1												1	5					1		1					
1995	Mayo	1363						1																				1					1								4					1				1	1		
1995	Junio	1276													1																										13							1					
1995	Julio	1349									1												1					1					1								5									1			1
1995	Agosto	1289											1															1												1	1							1					
1995	Septiembre	1331												2														1							5					1	4								1				
1995	Octubre	1296							1																																2							1					
1995	Noviembre	1221						1											3	1																			1		1												
1995	Diciembre	1358														2												2													5												
1995	No especificado	109									1	1							1				1					2		1								1		1	2							1					
1996	Total	14505					5	1			3		2		1	4			7	2			5					5							5			1	1	1	58							8		1	1		
1996	Enero	1262									2									1								1										1			7							1					
1996	Febrero	1214														2																									3							1					
1996	Marzo	1247					3									1												1													5												
1996	Abril	1221																	5				1																		3												
1996	Mayo	1314					2																1					1												1	5							1			1		
1996	Junio	1207														1												1							2						3							1					
1996	Julio	1166																										1													4									1			
1996	Agosto	1103																					1												1						6												
1996	Septiembre	1145																					1												1						3							2					
1996	Octubre	1175											2							1																			1		5												
1996	Noviembre	1106						1			1																														4												
1996	Diciembre	1228													1				1				1												1						9							2					
1996	No especificado	117																	1																						1												
1997	Total	13552			1		1	8			2			4	1	1	2		1		1	2	2	2		2		8					3	1	7			1	2	3	50		1	1				9			1		
1997	Enero	1126														1																									3												
1997	Febrero	1054						2																				1							2						3							3			1		
1997	Marzo	1243						1																		2														2	6							1					
1997	Abril	1007						1			1																	1					1						1		5			1				2					
1997	Mayo	1187			1														1		1	2		1				1						1	1						3		1										
1997	Junio	1053					1							4																										1	7							1					
1997	Julio	1014						1															1										1								1												
1997	Agosto	1144									1												1	1											1						6												
1997	Septiembre	1074						1																				1											1		3							1					
1997	Octubre	1077						2									2											3							3			1			7												
1997	Noviembre	1142																															1								2												
1997	Diciembre	1325													1													1													4							1					
1997	No especificado	106																																																			
1998	Total	13656					4	4				3			2	3			2	1	1		4	3		1		9							4			2	1	4	64		2					9		3	3		1
1998	Enero	1055																										1													5							1					
1998	Febrero	1068																					1					2							1						5										1		
1998	Marzo	1169						1								1										1									2						5												
1998	Abril	1157					2								2								1					1																				2					
1998	Mayo	1242																	2									1													7									1			
1998	Junio	1097					2														1																				6		1										
1998	Julio	1114																					1												1					2	3		1					1		2			1
1998	Agosto	1076						1				2																1													4							1					
1998	Septiembre	1156						1				1				2							1					2										2		1	14							1			1		
1998	Octubre	1127																		1				2				1											1		6							1			1		
1998	Noviembre	1058																						1																1	4							1					
