source,target,weight
0,35918,1
0,35925,1
0,35933,1
0,35935,1
0,35936,1
0,35937,7
0,35941,1
0,35945,1
0,35946,1
0,35959,1
0,35963,1
0,35964,1
0,35973,1
0,35978,1
0,35991,1
0,36001,2
0,36014,1
0,36026,1
0,36030,1
0,36059,2
0,36061,1
0,36128,2
0,36179,1
0,36241,2
0,36245,1
0,36247,1
0,36248,1
0,36251,1
0,36253,1
0,36256,1
0,36266,2
0,36277,2
0,36279,1
0,36289,1
0,36307,1
0,36313,1
0,36319,2
0,36327,1
0,36328,1
0,36329,2
0,36336,1
0,36344,1
0,36356,1
0,36362,1
0,36371,1
0,36375,1
0,36377,1
0,36378,1
0,36383,1
0,36399,1
0,36404,2
0,36410,1
0,36415,1
0,36422,1
0,36425,1
0,36426,1
0,36430,1
0,36431,1
0,36438,1
0,36446,1
0,36452,1
0,36457,1
0,36459,1
0,36471,2
0,36472,1
0,36474,1
0,36476,1
0,36484,2
0,36488,4
0,36502,1
0,36515,1
0,36516,1
0,36527,1
33597,33829,1
33597,34279,1
33597,34581,1
33597,34955,1
33597,35289,1
33597,35545,1
33597,35588,1
33597,35629,1
33597,35836,1
33597,36061,1
33600,33647,1
33600,33651,1
33600,33711,1
33600,33742,1
33600,33771,1
33600,33841,1
33600,33861,1
33600,33875,1
33600,33901,4
33600,33908,1
33600,33910,1
33600,33925,1
33600,33929,1
33600,33965,1
33600,34018,1
33600,34029,1
33600,34035,1
33600,34066,1
33600,34101,1
33600,34171,1
33600,34294,1
33600,34314,1
33600,34318,1
33600,34358,1
33600,34362,1
33600,34366,1
33600,34395,1
33600,34536,1
33600,34614,1
33600,34713,2
33600,34725,1
33600,34742,1
33600,34955,7
33600,34958,1
33600,34961,2
33600,34990,1
33600,34998,1
33600,35002,1
33600,35010,1
33600,35030,2
33600,35064,2
33600,35068,1
33600,35078,1
33600,35121,1
33600,35123,1
33600,35132,1
33600,35133,1
33600,35162,2
33600,35168,1
33600,35178,1
33600,35209,1
33600,35232,1
33600,35245,1
33600,35279,1
33600,35283,2
33600,35290,1
33600,35371,1
33600,35395,1
33600,35412,1
33600,35442,1
33600,35449,2
33600,35478,1
33600,35588,2
33600,35716,1
33600,35786,1
33600,35788,1
33600,35792,1
33600,35875,1
33600,35915,1
33600,35937,1
33600,35978,1
33600,35991,1
33600,36179,1
33600,36241,1
33600,36253,1
33600,36310,1
33600,36320,1
33600,36327,1
33600,36344,1
33600,36377,1
33600,36463,1
33600,36469,1
33601,33722,1
33601,33733,1
33601,33743,1
33601,33820,1
33601,33901,2
33601,34041,1
33601,34118,1
33601,34291,1
33601,34603,1
33601,34713,1
33601,34719,2
33601,34794,1
33601,34955,2
33601,35009,1
33601,35082,1
33601,35149,1
33601,35350,1
33601,35368,1
33601,35369,1
33601,35376,2
33601,35416,1
33601,35450,1
33601,35458,1
33601,35529,1
33601,35588,1
33601,36128,1
33601,36251,1
33601,36266,1
33601,36383,1
33601,36482,1
33609,33654,1
33609,33707,1
33609,33710,1
33609,33729,1
33609,34565,1
33609,36014,1
33609,36426,1
33613,33843,1
33613,33945,1
33613,33965,1
33613,34045,1
33613,34174,1
33613,34395,1
33613,34507,1
33613,34718,1
33613,34748,1
33613,34776,1
33613,34955,2
33613,35002,1
33613,35117,1
33613,35125,1
33613,35130,1
33613,35172,1
33613,35237,1
33613,35289,1
33613,35353,1
33613,35376,1
33613,35392,1
33613,35545,1
33613,35557,1
33613,35572,1
33613,35629,1
33613,35944,1
33613,36484,1
33617,33844,1
33617,34982,1
33617,35856,1
33617,35875,1
33623,33689,1
33623,33835,1
33623,33901,2
33623,34713,1
33623,34955,2
33623,35009,1
33623,35143,1
33623,35240,1
33623,35264,1
33623,35358,1
33623,35376,2
33623,35384,1
33623,35416,1
33623,35514,1
33623,35588,1
33623,35645,1
33623,35917,1
33623,36415,1
33623,36459,1
33623,36488,1
33626,34012,1
33626,34171,1
33626,34196,1
33626,35009,1
33626,35102,1
33626,35159,1
33626,35175,1
33626,35259,1
33626,35369,1
33626,35546,1
33626,35733,1
33626,36310,1
33631,35629,1
33631,36152,1
33635,33674,1
33635,33864,1
33635,33901,1
33635,33912,1
33635,34037,1
33635,34097,1
33635,34101,1
33635,34286,1
33635,34391,1
33635,34512,1
33635,34955,1
33635,35026,1
33635,35098,1
33635,35168,1
33635,35279,1
33635,35286,1
33635,35364,1
33635,35376,1
33635,35629,1
33635,35923,1
33635,36061,1
33635,36241,1
33635,36328,1
33647,33901,1
33647,34366,1
33647,34614,1
33647,34955,1
33647,35010,1
33647,35030,1
33647,35283,1
33647,35395,1
33647,35478,1
33647,35937,1
33650,33711,1
33650,33712,1
33650,33840,1
33650,33918,1
33650,34093,1
33650,35178,1
33650,35240,1
33650,35325,1
33650,35410,1
33650,35588,1
33650,35749,1
33650,35781,1
33650,36328,1
33651,33864,1
33651,33880,1
33651,33901,2
33651,33925,1
33651,34041,1
33651,34066,1
33651,34287,1
33651,34308,1
33651,34353,1
33651,34357,1
33651,34529,1
33651,34536,1
33651,34600,1
33651,34607,1
33651,34750,1
33651,34955,3
33651,35010,1
33651,35061,1
33651,35068,1
33651,35102,1
33651,35133,1
33651,35162,1
33651,35259,1
33651,35264,1
33651,35376,1
33651,35404,1
33651,35478,1
33651,35532,1
33651,36253,1
33654,33707,1
33654,33710,1
33654,33729,1
33654,34565,1
33654,36014,1
33654,36426,1
33657,33707,1
33657,33886,1
33657,33925,1
33657,34298,1
33657,34802,1
33657,35009,1
33657,35096,1
33657,35243,1
33657,35282,1
33657,35937,1
33657,35969,1
33662,33721,1
33662,33901,1
33662,34134,1
33662,34184,1
33662,35279,1
33662,35500,1
33662,35565,1
33664,33901,1
33664,34029,1
33664,34286,1
33664,34298,1
33664,34454,1
33664,34590,1
33664,35266,1
33664,35360,1
33664,35376,1
33664,35395,1
33664,35532,1
33664,35629,1
33664,35656,1
33664,35973,1
33664,36001,1
33668,33814,1
33668,35030,1
33668,35362,1
33668,35482,1
33674,33724,1
33674,33864,1
33674,33868,1
33674,34020,1
33674,34037,1
33674,34097,1
33674,34101,1
33674,34141,1
33674,34333,1
33674,34404,2
33674,34512,1
33674,34742,1
33674,34745,1
33674,34759,1
33674,34761,1
33674,35098,1
33674,35143,1
33674,35168,1
33674,35224,1
33674,35242,1
33674,35286,1
33674,35376,2
33674,35380,1
33674,35410,1
33674,35449,1
33674,35454,1
33674,35923,1
33687,35172,1
33689,33835,1
33689,33901,1
33689,34720,1
33689,34955,1
33689,35009,1
33689,35143,1
33689,35240,1
33689,35264,1
33689,35376,1
33689,35384,1
33689,35416,1
33689,35588,1
33689,35917,1
33689,36488,1
33691,33901,1
33691,34713,1
33691,34955,1
33691,35442,1
33691,35686,1
33691,35797,1
33696,34148,1
33696,34181,1
