		Total	Chihuahua	Nuevo Leon	Yucatan
2003	Diciembre	830	43	4	3
2003	No especificado	41	1	1	1
2004	Total	9329	478	114	36
2004	Enero	762	42	7	2
2004	Febrero	783	32	8	3
2004	Marzo	808	36	7	1
2004	Abril	685	39	10	1
2004	Mayo	823	45	8	3
2004	Junio	802	43	16	7
2004	Julio	742	43	10	4
2004	Agosto	777	52	10	
2004	Septiembre	749	31	13	5
2004	Octubre	779	38	7	2
2004	Noviembre	783	34	10	3
2004	Diciembre	803	42	8	5
2004	No especificado	33	1		
2005	Total	9921	570	151	38
2005	Enero	776	46	8	2
2005	Febrero	774	45	8	6
2005	Marzo	819	67	12	3
2005	Abril	859	35	13	3
2005	Mayo	822	52	13	2
2005	Junio	888	63	15	6
2005	Julio	817	37	20	2
2005	Agosto	791	35	4	3
2005	Septiembre	837	48	20	4
2005	Octubre	814	52	16	2
2005	Noviembre	825	37	10	1
2005	Diciembre	880	51	12	4
2005	No especificado	19	2		
2006	Total	10452	648	169	42
2006	Enero	894	57	12	1
2006	Febrero	762	55	13	5
2006	Marzo	859	47	17	1
2006	Abril	831	56	11	2
2006	Mayo	919	57	15	4
2006	Junio	858	45	11	3
2006	Julio	851	37	14	6
2006	Agosto	924	51	16	3
2006	Septiembre	914	57	17	2
2006	Octubre	833	57	13	6
2006	Noviembre	893	65	23	5
2006	Diciembre	878	63	7	4
2006	No especificado	36	1		
2007	Total	8867	518	279	49
2007	Enero	594	28	14	8
2007	Febrero	508	31	17	3
2007	Marzo	781	44	38	2
2007	Abril	775	39	29	2
2007	Mayo	935	56	40	5
2007	Junio	757	48	22	6
2007	Julio	740	30	26	8
2007	Agosto	764	45	16	4
2007	Septiembre	713	47	26	3
2007	Octubre	768	55	22	5
2007	Noviembre	708	45	17	2
2007	Diciembre	797	49	12	1
2007	No especificado	27	1		
2008	Total	14006	2604	241	49
2008	Enero	890	60	20	2
2008	Febrero	841	106	32	5
2008	Marzo	1011	177	18	1
2008	Abril	943	92	24	1
2008	Mayo	1147	230	18	5
2008	Junio	1218	257	18	2
2008	Julio	1185	223	22	5
2008	Agosto	1275	323	15	16
2008	Septiembre	1162	198	9	
2008	Octubre	1456	317	29	4
2008	Noviembre	1461	324	21	1
2008	Diciembre	1387	296	15	7
2008	No especificado	30	1		
2009	Total	19803	3680	342	37
2009	Enero	1372	252	28	4
2009	Febrero	1496	329	21	2
2009	Marzo	1468	202	11	4
2009	Abril	1349	156	30	1
2009	Mayo	1478	218	15	3
2009	Junio	1673	303	15	1
2009	Julio	1625	340	26	4
2009	Agosto	1800	364	33	2
2009	Septiembre	1852	422	38	4
2009	Octubre	1748	379	37	5
2009	Noviembre	1717	346	22	4
2009	Diciembre	2155	360	66	3
2009	No especificado	70	9		
2010	Total	25757	6421	928	34
2010	Enero	1943	443	24	1
2010	Febrero	1674	350	38	3
2010	Marzo	2016	477	84	4
2010	Abril	2037	402	103	4
2010	Mayo	2151	551	54	3
2010	Junio	2305	594	123	4
2010	Julio	2276	604	133	3
2010	Agosto	2534	773	87	3
2010	Septiembre	2163	617	80	2
2010	Octubre	2455	676	83	1
2010	Noviembre	1910	394	50	3
2010	Diciembre	2233	538	69	3
2010	No especificado	60	2		
2011	Total	27213	4487	2149	53
2011	Enero	2216	449	154	5
2011	Febrero	2029	425	122	8
2011	Marzo	2227	430	116	4
2011	Abril	2426	400	158	6
2011	Mayo	2601	376	272	5
2011	Junio	2325	393	238	4
2011	Julio	2413	419	279	2
2011	Agosto	2326	327	216	7
2011	Septiembre	2102	330	145	2
2011	Octubre	2285	318	205	3
2011	Noviembre	2012	301	143	5
2011	Diciembre	2140	315	96	2
2011	No especificado	111	4	5	
2012	Total	25967	2776	1833	42
2012	Enero	2164	297	158	2
2012	Febrero	1892	221	218	5
2012	Marzo	2211	316	220	3
2012	Abril	2251	321	163	3
2012	Mayo	2377	257	205	7
2012	Junio	2240	245	100	3
2012	Julio	2158	205	107	3
2012	Agosto	2234	229	185	1
2012	Septiembre	2381	187	140	8
2012	Octubre	1925	126	139	
2012	Noviembre	1844	177	60	5
2012	Diciembre	2150	190	138	2
2012	No especificado	140	5		
2013	Total	23063	2136	932	49
2013	Enero	1970	147	116	1
2013	Febrero	1702	143	77	3
2013	Marzo	2107	204	61	6
2013	Abril	2077	199	121	5
2013	Mayo	1969	189	71	2
2013	Junio	1875	215	82	1
2013	Julio	1846	173	77	2
2013	Agosto	1882	195	64	5
2013	Septiembre	1842	158	70	3
2013	Octubre	1892	165	58	7
2013	Noviembre	1755	128	48	3
2013	Diciembre	2040	207	83	10
2013	No especificado	106	13	4	1
2014	Total	20010	1758	575	48
2014	Enero	1723	132	49	1
2014	Febrero	1596	154	52	3
2014	Marzo	1780	154	55	4
2014	Abril	1681	146	58	2
2014	Mayo	1804	181	45	5
2014	Junio	1557	108	43	6
2014	Julio	1580	147	49	8
2014	Agosto	1578	132	41	3
2014	Septiembre	1568	147	46	3
2014	Octubre	1643	132	38	8
2014	Noviembre	1557	164	48	3
2014	Diciembre	1772	153	51	2
2014	No especificado	171	8		
2015	Total	20762	1541	474	58
2015	Enero	1606	150	40	1
2015	Febrero	1473	130	32	1
2015	Marzo	1579	143	37	11
2015	Abril	1728	100	39	2
2015	Mayo	1821	158	45	9
2015	Junio	1673	139	56	4
2015	Julio	1758	144	35	8
2015	Agosto	1831	147	41	
2015	Septiembre	1725	100	49	4
2015	Octubre	1727	101	47	3
2015	Noviembre	1763	97	24	3
2015	Diciembre	1897	110	29	12
2015	No especificado	181	22		
2016	Total	24559	1795	627	64
2016	Enero	1739	119	44	2
2016	Febrero	1678	111	91	12
2016	Marzo	1761	102	40	2
2016	Abril	1894	124	48	2
2016	Mayo	2066	144	61	6
2016	Junio	1983	126	38	3
2016	Julio	2256	158	67	4
2016	Agosto	2229	161	47	10
2016	Septiembre	2297	175	61	6
2016	Octubre	2166	256	60	7
2016	Noviembre	2138	142	35	9
2016	Diciembre	2214	173	35	1
2016	No especificado	138	4		
2017	Total	32079	2168	664	52
2017	Enero	2448	153	37	6
2017	Febrero	2293	195	53	8
2017	Marzo	2476	146	53	6
2017	Abril	2480	117	60	3
2017	Mayo	2707	175	57	3
2017	Junio	2903	233	72	5
2017	Julio	2677	157	72	3
2017	Agosto	2614	154	40	7
2017	Septiembre	2802	203	61	3
2017	Octubre	2937	189	62	1
2017	Noviembre	2764	199	58	4
2017	Diciembre	2808	223	39	3
2017	No especificado	170	24		
2018	Total	36685	2753	840	57
2018	Enero	2833	209	52	3
2018	Febrero	2603	186	43	5
2018	Marzo	3005	173	48	2
2018	Abril	3046	171	65	8
2018	Mayo	3163	246	70	3
2018	Junio	3042	343	42	2
2018	Julio	3280	327	81	11
2018	Agosto	3106	314	67	8
2018	Septiembre	3110	166	90	4
2018	Octubre	3048	177	92	5
2018	Noviembre	3011	235	91	3
2018	Diciembre	2923	195	99	3
2018	No especificado	515	11		
2019	Total	36661	2666	981	46
2019	Enero	3008	139	101	3
2019	Febrero	2918	213	109	5
2019	Marzo	2886	226	68	3
2019	Abril	2899	279	65	5
2019	Mayo	3041	291	82	5
2019	Junio	3087	247	88	4
2019	Julio	3118	237	80	3
2019	Agosto	3132	200	88	2
2019	Septiembre	2992	201	84	6
2019	Octubre	3069	221	74	2
2019	Noviembre	3113	231	66	2
2019	Diciembre	3179	165	75	4
2019	No especificado	219	16	1	2
